Según hayan o no trabajado antes;Tiempo de búsqueda de empleo;Sexo;Periodo;Total
total;de 6 meses a 1 año;varones;1987TII;234,7
total;de 6 meses a 1 año;varones;1987TI;297,4
total;de 6 meses a 1 año;varones;1986TIV;301,7
total;de 6 meses a 1 año;varones;1986TIII;331,7
total;de 6 meses a 1 año;varones;1986TII;336,8
total;de 6 meses a 1 año;varones;1986TI;327,3
total;de 6 meses a 1 año;varones;1985TIV;342,7
total;de 6 meses a 1 año;varones;1985TIII;381,0
total;de 6 meses a 1 año;varones;1985TII;368,6
total;de 6 meses a 1 año;varones;1985TI;378,7
total;de 6 meses a 1 año;varones;1984TIV;393,4
total;de 6 meses a 1 año;varones;1984TIII;374,8
total;de 6 meses a 1 año;varones;1984TII;360,2
total;de 6 meses a 1 año;varones;1984TI;336,1
total;de 6 meses a 1 año;varones;1983TIV;296,0
total;de 6 meses a 1 año;varones;1983TIII;312,4
total;de 6 meses a 1 año;varones;1983TII;332,3
total;de 6 meses a 1 año;varones;1983TI;335,7
total;de 6 meses a 1 año;varones;1982TIV;299,6
total;de 6 meses a 1 año;varones;1982TIII;302,9
total;de 6 meses a 1 año;varones;1982TII;324,4
total;de 6 meses a 1 año;varones;1982TI;325,3
total;de 6 meses a 1 año;varones;1981TIV;310,5
total;de 6 meses a 1 año;varones;1981TIII;299,8
total;de 6 meses a 1 año;varones;1981TII;321,3
total;de 6 meses a 1 año;varones;1981TI;289,3
total;de 6 meses a 1 año;varones;1980TIV;270,5
total;de 6 meses a 1 año;varones;1980TIII;253,9
total;de 6 meses a 1 año;varones;1980TII;269,0
total;de 6 meses a 1 año;varones;1980TI;243,3
total;de 6 meses a 1 año;varones;1979TIV;205,0
total;de 6 meses a 1 año;varones;1979TIII;181,9
total;de 6 meses a 1 año;varones;1979TII;179,9
total;de 6 meses a 1 año;varones;1979TI;177,2
total;de 6 meses a 1 año;varones;1978TIV;152,0
total;de 6 meses a 1 año;varones;1978TIII;156,3
total;de 6 meses a 1 año;varones;1978TII;161,3
total;de 6 meses a 1 año;varones;1978TI;137,3
total;de 6 meses a 1 año;varones;1977TIV;114,2
total;de 6 meses a 1 año;varones;1977TIII;111,2
total;de 6 meses a 1 año;varones;1977TII;116,0
total;de 6 meses a 1 año;varones;1977TI;105,7
total;de 6 meses a 1 año;varones;1976TIV;92,9
total;de 6 meses a 1 año;varones;1976TIII;93,0
total;de 6 meses a 1 año;mujeres;1995TIV;248,6
total;de 6 meses a 1 año;mujeres;1995TIII;294,6
total;de 6 meses a 1 año;mujeres;1995TII;321,5
total;de 6 meses a 1 año;mujeres;1995TI;259,5
total;de 6 meses a 1 año;mujeres;1994TIV;249,9
total;de 6 meses a 1 año;mujeres;1994TIII;290,1
total;de 6 meses a 1 año;mujeres;1994TII;349,1
total;de 6 meses a 1 año;mujeres;1994TI;278,1
total;de 6 meses a 1 año;mujeres;1993TIV;268,1
total;de 6 meses a 1 año;mujeres;1993TIII;302,3
total;de 6 meses a 1 año;mujeres;1993TII;317,9
total;de 6 meses a 1 año;mujeres;1993TI;268,3
total;de 6 meses a 1 año;mujeres;1992TIV;236,1
total;de 6 meses a 1 año;mujeres;1992TIII;265,2
total;de 6 meses a 1 año;mujeres;1992TII;251,7
total;de 6 meses a 1 año;mujeres;1992TI;224,3
total;de 6 meses a 1 año;mujeres;1991TIV;203,3
total;de 6 meses a 1 año;mujeres;1991TIII;212,8
total;de 6 meses a 1 año;mujeres;1991TII;214,8
total;de 6 meses a 1 año;mujeres;1991TI;195,9
total;de 6 meses a 1 año;mujeres;1990TIV;176,9
total;de 6 meses a 1 año;mujeres;1990TIII;191,8
total;de 6 meses a 1 año;mujeres;1990TII;219,6
total;de 6 meses a 1 año;mujeres;1990TI;189,2
total;de 6 meses a 1 año;mujeres;1989TIV;152,1
total;de 6 meses a 1 año;mujeres;1989TIII;159,4
total;de 6 meses a 1 año;mujeres;1989TII;191,1
total;de 6 meses a 1 año;mujeres;1989TI;185,2
total;de 6 meses a 1 año;mujeres;1988TIV;156,6
total;de 6 meses a 1 año;mujeres;1988TIII;171,5
total;de 6 meses a 1 año;mujeres;1988TII;195,3
total;de 6 meses a 1 año;mujeres;1988TI;188,9
total;de 6 meses a 1 año;mujeres;1987TIV;162,1
total;de 6 meses a 1 año;mujeres;1987TIII;163,1
total;de 6 meses a 1 año;mujeres;1987TII;161,3
total;de 6 meses a 1 año;mujeres;1987TI;184,3
total;de 6 meses a 1 año;mujeres;1986TIV;163,2
total;de 6 meses a 1 año;mujeres;1986TIII;184,1
total;de 6 meses a 1 año;mujeres;1986TII;193,2
total;de 6 meses a 1 año;mujeres;1986TI;182,3
total;de 6 meses a 1 año;mujeres;1985TIV;169,6
total;de 6 meses a 1 año;mujeres;1985TIII;176,8
total;de 6 meses a 1 año;mujeres;1985TII;176,8
total;de 6 meses a 1 año;mujeres;1985TI;174,0
total;de 6 meses a 1 año;mujeres;1984TIV;169,1
total;de 6 meses a 1 año;mujeres;1984TIII;162,6
total;de 6 meses a 1 año;mujeres;1984TII;181,4
total;de 6 meses a 1 año;mujeres;1984TI;170,7
total;de 6 meses a 1 año;mujeres;1983TIV;141,9
total;de 6 meses a 1 año;mujeres;1983TIII;138,7
total;de 6 meses a 1 año;mujeres;1983TII;171,8
total;de 6 meses a 1 año;mujeres;1983TI;187,3
total;de 6 meses a 1 año;mujeres;1982TIV;152,1
total;de 6 meses a 1 año;mujeres;1982TIII;151,4
total;de 6 meses a 1 año;mujeres;1982TII;158,8
total;de 6 meses a 1 año;mujeres;1982TI;148,1
total;de 6 meses a 1 año;mujeres;1981TIV;153,4
total;de 6 meses a 1 año;mujeres;1981TIII;152,1
total;de 6 meses a 1 año;mujeres;1981TII;166,9
total;de 6 meses a 1 año;mujeres;1981TI;147,2
total;de 6 meses a 1 año;mujeres;1980TIV;132,9
total;de 6 meses a 1 año;mujeres;1980TIII;123,7
total;de 6 meses a 1 año;mujeres;1980TII;132,2
total;de 6 meses a 1 año;mujeres;1980TI;122,3
total;de 6 meses a 1 año;mujeres;1979TIV;100,9
total;de 6 meses a 1 año;mujeres;1979TIII;99,2
total;de 6 meses a 1 año;mujeres;1979TII;99,5
total;de 6 meses a 1 año;mujeres;1979TI;92,8
total;de 6 meses a 1 año;mujeres;1978TIV;74,9
total;de 6 meses a 1 año;mujeres;1978TIII;77,6
total;de 6 meses a 1 año;mujeres;1978TII;83,7
total;de 6 meses a 1 año;mujeres;1978TI;73,9
total;de 6 meses a 1 año;mujeres;1977TIV;57,3
total;de 6 meses a 1 año;mujeres;1977TIII;60,1
total;de 6 meses a 1 año;mujeres;1977TII;52,0
total;de 6 meses a 1 año;mujeres;1977TI;45,3
total;de 6 meses a 1 año;mujeres;1976TIV;34,0
total;de 6 meses a 1 año;mujeres;1976TIII;38,6
total;de 1 año a menos de 2 años;ambos sexos;1995TIV;681,1
total;de 1 año a menos de 2 años;ambos sexos;1995TIII;687,4
total;de 1 año a menos de 2 años;ambos sexos;1995TII;711,2
total;de 1 año a menos de 2 años;ambos sexos;1995TI;762,9
total;de 1 año a menos de 2 años;ambos sexos;1994TIV;822,8
total;de 1 año a menos de 2 años;ambos sexos;1994TIII;856,5
total;de 1 año a menos de 2 años;ambos sexos;1994TII;880,5
total;de 1 año a menos de 2 años;ambos sexos;1994TI;912,7
total;de 1 año a menos de 2 años;ambos sexos;1993TIV;858,6
total;de 1 año a menos de 2 años;ambos sexos;1993TIII;770,0
total;de 1 año a menos de 2 años;ambos sexos;1993TII;720,4
total;de 1 año a menos de 2 años;ambos sexos;1993TI;696,4
total;de 1 año a menos de 2 años;ambos sexos;1992TIV;621,7
total;de 1 año a menos de 2 años;ambos sexos;1992TIII;521,2
total;de 1 año a menos de 2 años;ambos sexos;1992TII;478,9
total;de 1 año a menos de 2 años;ambos sexos;1992TI;462,8
total;de 1 año a menos de 2 años;ambos sexos;1991TIV;507,8
total;de 1 año a menos de 2 años;ambos sexos;1991TIII;477,1
total;de 1 año a menos de 2 años;ambos sexos;1991TII;472,4
total;de 1 año a menos de 2 años;ambos sexos;1991TI;450,6
total;de 1 año a menos de 2 años;ambos sexos;1990TIV;458,9
total;de 1 año a menos de 2 años;ambos sexos;1990TIII;460,2
total;de 1 año a menos de 2 años;ambos sexos;1990TII;448,5
total;de 1 año a menos de 2 años;ambos sexos;1990TI;456,2
total;de 1 año a menos de 2 años;ambos sexos;1989TIV;445,5
total;de 1 año a menos de 2 años;ambos sexos;1989TIII;464,3
total;de 1 año a menos de 2 años;ambos sexos;1989TII;468,1
total;de 1 año a menos de 2 años;ambos sexos;1989TI;473,3
total;de 1 año a menos de 2 años;ambos sexos;1988TIV;477,3
total;de 1 año a menos de 2 años;ambos sexos;1988TIII;517,7
total;de 1 año a menos de 2 años;ambos sexos;1988TII;508,9
total;de 1 año a menos de 2 años;ambos sexos;1988TI;520,4
total;de 1 año a menos de 2 años;ambos sexos;1987TIV;516,4
total;de 1 año a menos de 2 años;ambos sexos;1987TIII;530,4
total;de 1 año a menos de 2 años;ambos sexos;1987TII;519,3
total;de 1 año a menos de 2 años;ambos sexos;1987TI;612,6
total;de 1 año a menos de 2 años;ambos sexos;1986TIV;596,9
total;de 1 año a menos de 2 años;ambos sexos;1986TIII;607,1
total;de 1 año a menos de 2 años;ambos sexos;1986TII;619,7
total;de 1 año a menos de 2 años;ambos sexos;1986TI;651,8
total;de 1 año a menos de 2 años;ambos sexos;1985TIV;652,1
total;de 1 año a menos de 2 años;ambos sexos;1985TIII;676,9
total;de 1 año a menos de 2 años;ambos sexos;1985TII;676,9
total;de 1 año a menos de 2 años;ambos sexos;1985TI;660,7
total;de 1 año a menos de 2 años;ambos sexos;1984TIV;641,3
total;de 1 año a menos de 2 años;ambos sexos;1984TIII;640,1
total;de 1 año a menos de 2 años;ambos sexos;1984TII;581,9
total;de 1 año a menos de 2 años;ambos sexos;1984TI;583,6
total;de 1 año a menos de 2 años;ambos sexos;1983TIV;591,0
total;de 1 año a menos de 2 años;ambos sexos;1983TIII;595,8
total;de 1 año a menos de 2 años;ambos sexos;1983TII;593,0
total;de 1 año a menos de 2 años;ambos sexos;1983TI;549,9
total;de 1 año a menos de 2 años;ambos sexos;1982TIV;560,1
total;de 1 año a menos de 2 años;ambos sexos;1982TIII;555,5
total;de 1 año a menos de 2 años;ambos sexos;1982TII;562,5
total;de 1 año a menos de 2 años;ambos sexos;1982TI;549,3
total;de 1 año a menos de 2 años;ambos sexos;1981TIV;516,5
total;de 1 año a menos de 2 años;ambos sexos;1981TIII;481,0
total;de 1 año a menos de 2 años;ambos sexos;1981TII;429,3
total;de 1 año a menos de 2 años;ambos sexos;1981TI;407,4
total;de 1 año a menos de 2 años;ambos sexos;1980TIV;382,5
total;de 1 año a menos de 2 años;ambos sexos;1980TIII;356,3
total;de 1 año a menos de 2 años;ambos sexos;1980TII;331,3
total;de 1 año a menos de 2 años;ambos sexos;1980TI;290,1
total;de 1 año a menos de 2 años;ambos sexos;1979TIV;244,4
total;de 1 año a menos de 2 años;ambos sexos;1979TIII;234,8
total;de 1 año a menos de 2 años;ambos sexos;1979TII;231,1
total;de 1 año a menos de 2 años;ambos sexos;1979TI;213,3
total;de 1 año a menos de 2 años;ambos sexos;1978TIV;194,5
total;de 1 año a menos de 2 años;ambos sexos;1978TIII;164,9
total;de 1 año a menos de 2 años;ambos sexos;1978TII;150,2
total;de 1 año a menos de 2 años;ambos sexos;1978TI;146,7
total;de 1 año a menos de 2 años;ambos sexos;1977TIV;114,3
total;de 1 año a menos de 2 años;ambos sexos;1977TIII;101,2
total;de 1 año a menos de 2 años;ambos sexos;1977TII;96,7
total;de 1 año a menos de 2 años;ambos sexos;1977TI;89,1
total;de 1 año a menos de 2 años;ambos sexos;1976TIV;88,7
total;de 1 año a menos de 2 años;ambos sexos;1976TIII;88,8
total;de 1 año a menos de 2 años;varones;1995TIV;315,6
total;de 1 año a menos de 2 años;varones;1995TIII;331,1
total;de 1 año a menos de 2 años;varones;1995TII;351,0
total;de 1 año a menos de 2 años;varones;1995TI;388,6
total;de 1 año a menos de 2 años;varones;1994TIV;413,4
total;de 1 año a menos de 2 años;varones;1994TIII;438,2
total;de 1 año a menos de 2 años;varones;1994TII;461,7
total;de 1 año a menos de 2 años;varones;1994TI;483,3
total;de 1 año a menos de 2 años;varones;1993TIV;464,0
total;de 1 año a menos de 2 años;varones;1993TIII;407,3
total;de 1 año a menos de 2 años;varones;1993TII;367,6
total;de 1 año a menos de 2 años;varones;1993TI;351,1
total;de 1 año a menos de 2 años;varones;1992TIV;297,6
total;de 1 año a menos de 2 años;varones;1992TIII;233,6
total;de 1 año a menos de 2 años;varones;1992TII;215,1
total;de 1 año a menos de 2 años;varones;1992TI;209,9
total;de 1 año a menos de 2 años;varones;1991TIV;230,9
total;de 1 año a menos de 2 años;varones;1991TIII;215,3
total;de 1 año a menos de 2 años;varones;1991TII;210,8
total;de 1 año a menos de 2 años;varones;1991TI;200,1
total;de 1 año a menos de 2 años;varones;1990TIV;200,5
total;de 1 año a menos de 2 años;varones;1990TIII;192,7
total;de 1 año a menos de 2 años;varones;1990TII;196,2
total;de 1 año a menos de 2 años;varones;1990TI;213,7
total;de 1 año a menos de 2 años;varones;1989TIV;208,7
total;de 1 año a menos de 2 años;varones;1989TIII;211,2
total;de 1 año a menos de 2 años;varones;1989TII;222,5
total;de 1 año a menos de 2 años;varones;1989TI;226,3
total;de 1 año a menos de 2 años;varones;1988TIV;221,8
total;de 1 año a menos de 2 años;varones;1988TIII;249,7
total;de 1 año a menos de 2 años;varones;1988TII;240,7
total;de 1 año a menos de 2 años;varones;1988TI;253,9
total;de 1 año a menos de 2 años;varones;1987TIV;264,5
total;de 1 año a menos de 2 años;varones;1987TIII;270,0
total;de 1 año a menos de 2 años;varones;1987TII;273,9
total;de 1 año a menos de 2 años;varones;1987TI;359,3
total;de 1 año a menos de 2 años;varones;1986TIV;359,2
total;de 1 año a menos de 2 años;varones;1986TIII;370,1
total;de 1 año a menos de 2 años;varones;1986TII;386,8
total;de 1 año a menos de 2 años;varones;1986TI;400,4
total;de 1 año a menos de 2 años;varones;1985TIV;412,9
total;de 1 año a menos de 2 años;varones;1985TIII;426,5
total;de 1 año a menos de 2 años;varones;1985TII;436,8
total;de 1 año a menos de 2 años;varones;1985TI;424,2
total;de 1 año a menos de 2 años;varones;1984TIV;396,5
total;de 1 año a menos de 2 años;varones;1984TIII;398,8
total;de 1 año a menos de 2 años;varones;1984TII;356,3
total;de 1 año a menos de 2 años;varones;1984TI;372,4
total;de 1 año a menos de 2 años;varones;1983TIV;373,1
total;de 1 año a menos de 2 años;varones;1983TIII;363,6
total;de 1 año a menos de 2 años;varones;1983TII;372,7
total;de 1 año a menos de 2 años;varones;1983TI;350,6
total;de 1 año a menos de 2 años;varones;1982TIV;358,3
total;de 1 año a menos de 2 años;varones;1982TIII;362,9
total;de 1 año a menos de 2 años;varones;1982TII;369,5
total;de 1 año a menos de 2 años;varones;1982TI;352,6
total;de 1 año a menos de 2 años;varones;1981TIV;330,9
total;de 1 año a menos de 2 años;varones;1981TIII;310,3
total;de 1 año a menos de 2 años;varones;1981TII;272,5
total;de 1 año a menos de 2 años;varones;1981TI;262,4
total;de 1 año a menos de 2 años;varones;1980TIV;243,0
total;de 1 año a menos de 2 años;varones;1980TIII;226,4
total;de 1 año a menos de 2 años;varones;1980TII;210,0
total;de 1 año a menos de 2 años;varones;1980TI;183,1
total;de 1 año a menos de 2 años;varones;1979TIV;151,4
total;de 1 año a menos de 2 años;varones;1979TIII;143,4
total;de 1 año a menos de 2 años;varones;1979TII;143,0
total;de 1 año a menos de 2 años;varones;1979TI;131,5
total;de 1 año a menos de 2 años;varones;1978TIV;116,2
total;de 1 año a menos de 2 años;varones;1978TIII;98,3
total;de 1 año a menos de 2 años;varones;1978TII;97,0
total;de 1 año a menos de 2 años;varones;1978TI;93,5
total;de 1 año a menos de 2 años;varones;1977TIV;74,7
total;de 1 año a menos de 2 años;varones;1977TIII;66,8
total;de 1 año a menos de 2 años;varones;1977TII;65,7
total;de 1 año a menos de 2 años;varones;1977TI;62,5
total;de 1 año a menos de 2 años;varones;1976TIV;63,0
total;de 1 año a menos de 2 años;varones;1976TIII;61,3
total;de 1 año a menos de 2 años;mujeres;1995TIV;365,5
total;de 1 año a menos de 2 años;mujeres;1995TIII;356,3
total;de 1 año a menos de 2 años;mujeres;1995TII;360,2
total;de 1 año a menos de 2 años;mujeres;1995TI;374,3
total;de 1 año a menos de 2 años;mujeres;1994TIV;409,5
total;de 1 año a menos de 2 años;mujeres;1994TIII;418,3
total;de 1 año a menos de 2 años;mujeres;1994TII;418,8
total;de 1 año a menos de 2 años;mujeres;1994TI;429,4
total;de 1 año a menos de 2 años;mujeres;1993TIV;394,7
total;de 1 año a menos de 2 años;mujeres;1993TIII;362,7
total;de 1 año a menos de 2 años;mujeres;1993TII;352,7
total;de 1 año a menos de 2 años;mujeres;1993TI;345,3
total;de 1 año a menos de 2 años;mujeres;1992TIV;324,1
total;de 1 año a menos de 2 años;mujeres;1992TIII;287,6
total;de 1 año a menos de 2 años;mujeres;1992TII;263,8
total;de 1 año a menos de 2 años;mujeres;1992TI;252,9
total;de 1 año a menos de 2 años;mujeres;1991TIV;276,8
total;de 1 año a menos de 2 años;mujeres;1991TIII;261,7
total;de 1 año a menos de 2 años;mujeres;1991TII;261,5
total;de 1 año a menos de 2 años;mujeres;1991TI;250,6
total;de 1 año a menos de 2 años;mujeres;1990TIV;258,4
total;de 1 año a menos de 2 años;mujeres;1990TIII;267,5
total;de 1 año a menos de 2 años;mujeres;1990TII;252,3
total;de 1 año a menos de 2 años;mujeres;1990TI;242,6
total;de 1 año a menos de 2 años;mujeres;1989TIV;236,8
total;de 1 año a menos de 2 años;mujeres;1989TIII;253,1
total;de 1 año a menos de 2 años;mujeres;1989TII;245,6
total;de 1 año a menos de 2 años;mujeres;1989TI;247,1
total;de 1 año a menos de 2 años;mujeres;1988TIV;255,5
total;de 1 año a menos de 2 años;mujeres;1988TIII;268,0
total;de 1 año a menos de 2 años;mujeres;1988TII;268,1
total;de 1 año a menos de 2 años;mujeres;1988TI;266,6
total;de 1 año a menos de 2 años;mujeres;1987TIV;251,8
total;de 1 año a menos de 2 años;mujeres;1987TIII;260,4
total;de 1 año a menos de 2 años;mujeres;1987TII;245,4
total;de 1 año a menos de 2 años;mujeres;1987TI;253,3
total;de 1 año a menos de 2 años;mujeres;1986TIV;237,8
total;de 1 año a menos de 2 años;mujeres;1986TIII;236,9
total;de 1 año a menos de 2 años;mujeres;1986TII;233,0
total;de 1 año a menos de 2 años;mujeres;1986TI;251,4
total;de 1 año a menos de 2 años;mujeres;1985TIV;239,2
total;de 1 año a menos de 2 años;mujeres;1985TIII;250,4
total;de 1 año a menos de 2 años;mujeres;1985TII;240,1
total;de 1 año a menos de 2 años;mujeres;1985TI;236,5
total;de 1 año a menos de 2 años;mujeres;1984TIV;244,7
total;de 1 año a menos de 2 años;mujeres;1984TIII;241,4
total;de 1 año a menos de 2 años;mujeres;1984TII;225,6
total;de 1 año a menos de 2 años;mujeres;1984TI;211,2
total;de 1 año a menos de 2 años;mujeres;1983TIV;217,9
total;de 1 año a menos de 2 años;mujeres;1983TIII;232,2
total;de 1 año a menos de 2 años;mujeres;1983TII;220,3
total;de 1 año a menos de 2 años;mujeres;1983TI;199,3
total;de 1 año a menos de 2 años;mujeres;1982TIV;201,8
total;de 1 año a menos de 2 años;mujeres;1982TIII;192,6
total;de 1 año a menos de 2 años;mujeres;1982TII;193,0
total;de 1 año a menos de 2 años;mujeres;1982TI;196,7
total;de 1 año a menos de 2 años;mujeres;1981TIV;185,6
total;de 1 año a menos de 2 años;mujeres;1981TIII;170,7
total;de 1 año a menos de 2 años;mujeres;1981TII;156,8
total;de 1 año a menos de 2 años;mujeres;1981TI;145,0
total;de 1 año a menos de 2 años;mujeres;1980TIV;139,6
total;de 1 año a menos de 2 años;mujeres;1980TIII;129,9
total;de 1 año a menos de 2 años;mujeres;1980TII;121,3
total;de 1 año a menos de 2 años;mujeres;1980TI;107,1
total;de 1 año a menos de 2 años;mujeres;1979TIV;93,0
total;de 1 año a menos de 2 años;mujeres;1979TIII;91,4
total;de 1 año a menos de 2 años;mujeres;1979TII;88,1
total;de 1 año a menos de 2 años;mujeres;1979TI;81,8
total;de 1 año a menos de 2 años;mujeres;1978TIV;78,3
total;de 1 año a menos de 2 años;mujeres;1978TIII;66,6
total;de 1 año a menos de 2 años;mujeres;1978TII;53,2
total;de 1 año a menos de 2 años;mujeres;1978TI;53,3
total;de 1 año a menos de 2 años;mujeres;1977TIV;39,6
total;de 1 año a menos de 2 años;mujeres;1977TIII;34,3
total;de 1 año a menos de 2 años;mujeres;1977TII;31,0
total;de 1 año a menos de 2 años;mujeres;1977TI;26,6
total;de 1 año a menos de 2 años;mujeres;1976TIV;25,7
total;de 1 año a menos de 2 años;mujeres;1976TIII;27,5
total;2 o más;ambos sexos;1995TIV;1.376,4
total;2 o más;ambos sexos;1995TIII;1.382,1
total;2 o más;ambos sexos;1995TII;1.398,5
total;2 o más;ambos sexos;1995TI;1.419,2
total;2 o más;ambos sexos;1994TIV;1.385,7
total;2 o más;ambos sexos;1994TIII;1.315,5
total;2 o más;ambos sexos;1994TII;1.257,4
total;2 o más;ambos sexos;1994TI;1.224,4
total;2 o más;ambos sexos;1993TIV;1.128,5
total;2 o más;ambos sexos;1993TIII;1.056,5
total;2 o más;ambos sexos;1993TII;988,2
total;2 o más;ambos sexos;1993TI;946,1
total;2 o más;ambos sexos;1992TIV;861,0
total;2 o más;ambos sexos;1992TIII;805,2
total;2 o más;ambos sexos;1992TII;814,7
total;2 o más;ambos sexos;1992TI;833,9
total;2 o más;ambos sexos;1991TIV;826,7
total;2 o más;ambos sexos;1991TIII;805,9
total;2 o más;ambos sexos;1991TII;791,9
total;2 o más;ambos sexos;1991TI;798,3
total;2 o más;ambos sexos;1990TIV;827,6
total;2 o más;ambos sexos;1990TIII;867,3
total;2 o más;ambos sexos;1990TII;899,9
total;2 o más;ambos sexos;1990TI;921,8
total;2 o más;ambos sexos;1989TIV;972,3
total;2 o más;ambos sexos;1989TIII;1.023,2
total;2 o más;ambos sexos;1989TII;1.104,3
total;2 o más;ambos sexos;1989TI;1.134,3
total;2 o más;ambos sexos;1988TIV;1.167,1
total;2 o más;ambos sexos;1988TIII;1.248,5
total;2 o más;ambos sexos;1988TII;1.313,7
total;2 o más;ambos sexos;1988TI;1.304,7
total;2 o más;ambos sexos;1987TIV;1.290,4
total;2 o más;ambos sexos;1987TIII;1.337,2
total;2 o más;ambos sexos;1987TII;1.409,0
total;2 o más;ambos sexos;1987TI;1.086,3
total;2 o más;ambos sexos;1986TIV;1.060,7
total;2 o más;ambos sexos;1986TIII;1.069,1
total;2 o más;ambos sexos;1986TII;1.102,2
total;2 o más;ambos sexos;1986TI;1.082,4
total;2 o más;ambos sexos;1985TIV;1.050,2
total;2 o más;ambos sexos;1985TIII;1.010,4
total;2 o más;ambos sexos;1985TII;1.041,3
total;2 o más;ambos sexos;1985TI;988,3
total;2 o más;ambos sexos;1984TIV;925,1
total;2 o más;ambos sexos;1984TIII;883,7
total;2 o más;ambos sexos;1984TII;865,5
total;2 o más;ambos sexos;1984TI;834,1
total;2 o más;ambos sexos;1983TIV;735,2
total;2 o más;ambos sexos;1983TIII;695,2
total;2 o más;ambos sexos;1983TII;644,3
total;2 o más;ambos sexos;1983TI;608,8
total;2 o más;ambos sexos;1982TIV;549,1
total;2 o más;ambos sexos;1982TIII;510,5
total;2 o más;ambos sexos;1982TII;463,8
total;2 o más;ambos sexos;1982TI;399,1
total;2 o más;ambos sexos;1981TIV;360,0
total;2 o más;ambos sexos;1981TIII;312,0
total;2 o más;ambos sexos;1981TII;266,1
total;2 o más;ambos sexos;1981TI;234,7
total;2 o más;ambos sexos;1980TIV;192,6
total;2 o más;ambos sexos;1980TIII;168,5
total;2 o más;ambos sexos;1980TII;145,3
total;2 o más;ambos sexos;1980TI;133,3
total;2 o más;ambos sexos;1979TIV;113,4
total;2 o más;ambos sexos;1979TIII;100,6
total;2 o más;ambos sexos;1979TII;94,5
total;2 o más;ambos sexos;1979TI;95,7
total;2 o más;ambos sexos;1978TIV;78,9
total;2 o más;ambos sexos;1978TIII;75,3
total;2 o más;ambos sexos;1978TII;62,8
total;2 o más;ambos sexos;1978TI;48,4
total;2 o más;ambos sexos;1977TIV;39,7
total;2 o más;ambos sexos;1977TIII;39,8
total;2 o más;ambos sexos;1977TII;35,5
total;2 o más;ambos sexos;1977TI;34,3
total;2 o más;ambos sexos;1976TIV;29,1
total;2 o más;ambos sexos;1976TIII;30,0
total;2 o más;varones;1995TIV;569,5
total;2 o más;varones;1995TIII;568,0
total;2 o más;varones;1995TII;574,8
total;2 o más;varones;1995TI;570,7
total;2 o más;varones;1994TIV;566,1
total;2 o más;varones;1994TIII;518,0
total;2 o más;varones;1994TII;498,9
total;2 o más;varones;1994TI;493,1
total;2 o más;varones;1993TIV;439,3
total;2 o más;varones;1993TIII;410,1
total;2 o más;varones;1993TII;373,4
total;2 o más;varones;1993TI;363,2
total;2 o más;varones;1992TIV;310,4
total;2 o más;varones;1992TIII;293,8
total;2 o más;varones;1992TII;288,4
total;2 o más;varones;1992TI;303,1
total;2 o más;varones;1991TIV;305,8
total;2 o más;varones;1991TIII;300,6
total;2 o más;varones;1991TII;293,6
total;2 o más;varones;1991TI;295,2
total;2 o más;varones;1990TIV;305,0
total;2 o más;varones;1990TIII;327,2
total;2 o más;varones;1990TII;353,2
total;2 o más;varones;1990TI;350,4
total;2 o más;varones;1989TIV;378,2
total;2 o más;varones;1989TIII;412,9
total;2 o más;varones;1989TII;460,9
total;2 o más;varones;1989TI;477,9
total;2 o más;varones;1988TIV;501,5
total;2 o más;varones;1988TIII;553,9
total;2 o más;varones;1988TII;600,4
total;2 o más;varones;1988TI;604,6
total;2 o más;varones;1987TIV;606,8
total;2 o más;varones;1987TIII;665,6
total;2 o más;varones;1987TII;703,8
total;2 o más;varones;1987TI;618,2
total;2 o más;varones;1986TIV;595,2
total;2 o más;varones;1986TIII;629,3
total;2 o más;varones;1986TII;649,4
total;2 o más;varones;1986TI;650,2
total;2 o más;varones;1985TIV;617,1
total;2 o más;varones;1985TIII;599,5
total;2 o más;varones;1985TII;621,2
total;2 o más;varones;1985TI;586,5
total;2 o más;varones;1984TIV;552,2
total;2 o más;varones;1984TIII;534,4
total;2 o más;varones;1984TII;538,4
total;2 o más;varones;1984TI;510,8
total;2 o más;varones;1983TIV;435,1
total;2 o más;varones;1983TIII;410,9
total;2 o más;varones;1983TII;378,1
total;2 o más;varones;1983TI;355,1
total;2 o más;varones;1982TIV;316,8
total;2 o más;varones;1982TIII;291,0
total;2 o más;varones;1982TII;261,6
total;2 o más;varones;1982TI;232,6
total;2 o más;varones;1981TIV;204,2
total;2 o más;varones;1981TIII;183,7
total;2 o más;varones;1981TII;152,4
total;2 o más;varones;1981TI;138,5
total;2 o más;varones;1980TIV;109,0
total;2 o más;varones;1980TIII;92,9
total;2 o más;varones;1980TII;80,0
total;2 o más;varones;1980TI;68,1
total;2 o más;varones;1979TIV;59,6
total;2 o más;varones;1979TIII;55,6
total;2 o más;varones;1979TII;53,7
total;2 o más;varones;1979TI;53,2
total;2 o más;varones;1978TIV;43,2
total;2 o más;varones;1978TIII;40,5
total;2 o más;varones;1978TII;32,7
total;2 o más;varones;1978TI;27,6
total;2 o más;varones;1977TIV;23,3
total;2 o más;varones;1977TIII;24,0
total;2 o más;varones;1977TII;22,1
total;2 o más;varones;1977TI;22,0
total;2 o más;varones;1976TIV;17,0
total;2 o más;varones;1976TIII;18,5
