Sexo;Edad;Tiempo de búsqueda de empleo;Periodo;Total
Ambos sexos;Total;De 1 mes a menos de 3 meses;2005T4;430,8
Ambos sexos;Total;De 1 mes a menos de 3 meses;2005T3;395,9
Ambos sexos;Total;De 1 mes a menos de 3 meses;2005T2;377,3
Ambos sexos;Total;De 1 mes a menos de 3 meses;2005T1;432,3
Ambos sexos;Total;De 1 mes a menos de 3 meses;2004T4;401,3
Ambos sexos;Total;De 1 mes a menos de 3 meses;2004T3;374
Ambos sexos;Total;De 1 mes a menos de 3 meses;2004T2;338,4
Ambos sexos;Total;De 1 mes a menos de 3 meses;2004T1;405,6
Ambos sexos;Total;De 1 mes a menos de 3 meses;2003T4;435,8
Ambos sexos;Total;De 1 mes a menos de 3 meses;2003T3;359,4
Ambos sexos;Total;De 1 mes a menos de 3 meses;2003T2;309,8
Ambos sexos;Total;De 1 mes a menos de 3 meses;2003T1;389,1
Ambos sexos;Total;De 1 mes a menos de 3 meses;2002T4;408
Ambos sexos;Total;De 1 mes a menos de 3 meses;2002T3;368,9
Ambos sexos;Total;De 1 mes a menos de 3 meses;2002T2;313,3
Ambos sexos;Total;De 1 mes a menos de 3 meses;2002T1;357,9
Ambos sexos;Total;De 3 meses a menos de 6 meses;2025T4;362,9
Ambos sexos;Total;De 3 meses a menos de 6 meses;2025T3;301,3
Ambos sexos;Total;De 3 meses a menos de 6 meses;2025T2;374,3
Ambos sexos;Total;De 3 meses a menos de 6 meses;2025T1;373,4
Ambos sexos;Total;De 3 meses a menos de 6 meses;2024T4;353
Ambos sexos;Total;De 3 meses a menos de 6 meses;2024T3;317,9
Ambos sexos;Total;De 3 meses a menos de 6 meses;2024T2;404,2
Ambos sexos;Total;De 3 meses a menos de 6 meses;2024T1;424
Ambos sexos;Total;De 3 meses a menos de 6 meses;2023T4;379,8
Ambos sexos;Total;De 3 meses a menos de 6 meses;2023T3;345,6
Ambos sexos;Total;De 3 meses a menos de 6 meses;2023T2;366,2
Ambos sexos;Total;De 3 meses a menos de 6 meses;2023T1;468,9
Ambos sexos;Total;De 3 meses a menos de 6 meses;2022T4;423,9
Ambos sexos;Total;De 3 meses a menos de 6 meses;2022T3;330,5
Ambos sexos;Total;De 3 meses a menos de 6 meses;2022T2;376,6
Ambos sexos;Total;De 3 meses a menos de 6 meses;2022T1;393
Ambos sexos;Total;De 3 meses a menos de 6 meses;2021T4;380,5
Ambos sexos;Total;De 3 meses a menos de 6 meses;2021T3;345,8
Ambos sexos;Total;De 3 meses a menos de 6 meses;2021T2;410
Ambos sexos;Total;De 3 meses a menos de 6 meses;2021T1;473,3
Ambos sexos;Total;De 3 meses a menos de 6 meses;2020T4;526
Ambos sexos;Total;De 3 meses a menos de 6 meses;2020T3;646,3
Ambos sexos;Total;De 3 meses a menos de 6 meses;2020T2;547,1
Ambos sexos;Total;De 3 meses a menos de 6 meses;2020T1;423,5
Ambos sexos;Total;De 3 meses a menos de 6 meses;2019T4;405,6
Ambos sexos;Total;De 3 meses a menos de 6 meses;2019T3;350,7
Ambos sexos;Total;De 3 meses a menos de 6 meses;2019T2;381,6
Ambos sexos;Total;De 3 meses a menos de 6 meses;2019T1;425,2
Ambos sexos;Total;De 3 meses a menos de 6 meses;2018T4;402,2
Ambos sexos;Total;De 3 meses a menos de 6 meses;2018T3;325,1
Ambos sexos;Total;De 3 meses a menos de 6 meses;2018T2;377,6
Ambos sexos;Total;De 3 meses a menos de 6 meses;2018T1;442,8
Ambos sexos;Total;De 3 meses a menos de 6 meses;2017T4;437,1
Ambos sexos;Total;De 3 meses a menos de 6 meses;2017T3;340,1
Ambos sexos;Total;De 3 meses a menos de 6 meses;2017T2;393,9
Ambos sexos;Total;De 3 meses a menos de 6 meses;2017T1;475,3
Ambos sexos;Total;De 3 meses a menos de 6 meses;2016T4;429,4
Ambos sexos;Total;De 3 meses a menos de 6 meses;2016T3;382,4
Ambos sexos;Total;De 3 meses a menos de 6 meses;2016T2;455,6
Ambos sexos;Total;De 3 meses a menos de 6 meses;2016T1;504,3
Ambos sexos;Total;De 3 meses a menos de 6 meses;2015T4;473,4
Ambos sexos;Total;De 3 meses a menos de 6 meses;2015T3;391
Ambos sexos;Total;De 3 meses a menos de 6 meses;2015T2;467,9
Ambos sexos;Total;De 3 meses a menos de 6 meses;2015T1;524,7
Ambos sexos;Total;De 3 meses a menos de 6 meses;2014T4;520,1
Ambos sexos;Total;De 3 meses a menos de 6 meses;2014T3;414,3
Ambos sexos;Total;De 3 meses a menos de 6 meses;2014T2;493,8
Ambos sexos;Total;De 3 meses a menos de 6 meses;2014T1;579
Ambos sexos;Total;De 3 meses a menos de 6 meses;2013T4;547,1
Ambos sexos;Total;De 3 meses a menos de 6 meses;2013T3;501,5
Ambos sexos;Total;De 3 meses a menos de 6 meses;2013T2;606,8
Ambos sexos;Total;De 3 meses a menos de 6 meses;2013T1;738,1
Ambos sexos;Total;De 3 meses a menos de 6 meses;2012T4;690,3
Ambos sexos;Total;De 3 meses a menos de 6 meses;2012T3;594,8
Ambos sexos;Total;De 3 meses a menos de 6 meses;2012T2;726,5
Ambos sexos;Total;De 3 meses a menos de 6 meses;2012T1;750,9
