Ocupación CNO-11;Sexo;Unidad;Periodo;Total
1 Directores y gerentes;Ambos sexos;Porcentaje;2014T3;0,2
1 Directores y gerentes;Ambos sexos;Porcentaje;2014T2;0,2
1 Directores y gerentes;Ambos sexos;Porcentaje;2014T1;0,3
1 Directores y gerentes;Ambos sexos;Porcentaje;2013T4;0,2
1 Directores y gerentes;Ambos sexos;Porcentaje;2013T3;0,2
1 Directores y gerentes;Ambos sexos;Porcentaje;2013T2;0,3
1 Directores y gerentes;Ambos sexos;Porcentaje;2013T1;0,3
1 Directores y gerentes;Ambos sexos;Porcentaje;2012T4;0,2
1 Directores y gerentes;Ambos sexos;Porcentaje;2012T3;0,2
1 Directores y gerentes;Ambos sexos;Porcentaje;2012T2;0,2
1 Directores y gerentes;Ambos sexos;Porcentaje;2012T1;0,3
1 Directores y gerentes;Ambos sexos;Porcentaje;2011T4;0,2
1 Directores y gerentes;Ambos sexos;Porcentaje;2011T3;0,3
1 Directores y gerentes;Ambos sexos;Porcentaje;2011T2;0,2
1 Directores y gerentes;Ambos sexos;Porcentaje;2011T1;0,3
1 Directores y gerentes;Hombres;Valor absoluto;2025T4;17,7
1 Directores y gerentes;Hombres;Valor absoluto;2025T3;12,1
1 Directores y gerentes;Hombres;Valor absoluto;2025T2;16,2
1 Directores y gerentes;Hombres;Valor absoluto;2025T1;14,2
1 Directores y gerentes;Hombres;Valor absoluto;2024T4;12,6
1 Directores y gerentes;Hombres;Valor absoluto;2024T3;15,3
1 Directores y gerentes;Hombres;Valor absoluto;2024T2;16,7
1 Directores y gerentes;Hombres;Valor absoluto;2024T1;18,3
1 Directores y gerentes;Hombres;Valor absoluto;2023T4;11,9
1 Directores y gerentes;Hombres;Valor absoluto;2023T3;15,3
