Según hayan o no trabajado antes;Tiempo de búsqueda de empleo;Sexo;Periodo;Total
total;2 o más;mujeres;1996TII;793,8
total;2 o más;mujeres;1996TI;826,2
total;ya lo ha encontrado;ambos sexos;2001TIV;139,7
total;ya lo ha encontrado;ambos sexos;2001TIII;169,0
total;ya lo ha encontrado;ambos sexos;2001TII;150,1
total;ya lo ha encontrado;ambos sexos;2001TI;160,5
total;ya lo ha encontrado;ambos sexos;2000TIV;69,2
total;ya lo ha encontrado;ambos sexos;2000TIII;91,8
total;ya lo ha encontrado;ambos sexos;2000TII;74,2
total;ya lo ha encontrado;ambos sexos;2000TI;74,3
total;ya lo ha encontrado;ambos sexos;1999TIV;66,6
total;ya lo ha encontrado;ambos sexos;1999TIII;98,3
total;ya lo ha encontrado;ambos sexos;1999TII;80,7
total;ya lo ha encontrado;ambos sexos;1999TI;65,8
total;ya lo ha encontrado;ambos sexos;1998TIV;52,7
total;ya lo ha encontrado;ambos sexos;1998TIII;75,7
total;ya lo ha encontrado;ambos sexos;1998TII;50,5
total;ya lo ha encontrado;ambos sexos;1998TI;42,3
total;ya lo ha encontrado;ambos sexos;1997TIV;44,6
total;ya lo ha encontrado;ambos sexos;1997TIII;56,9
total;ya lo ha encontrado;ambos sexos;1997TII;40,9
total;ya lo ha encontrado;ambos sexos;1997TI;45,9
total;ya lo ha encontrado;ambos sexos;1996TIV;29,7
total;ya lo ha encontrado;ambos sexos;1996TIII;40,3
total;ya lo ha encontrado;ambos sexos;1996TII;32,0
total;ya lo ha encontrado;ambos sexos;1996TI;27,9
total;ya lo ha encontrado;varones;2001TIV;71,6
total;ya lo ha encontrado;varones;2001TIII;78,1
total;ya lo ha encontrado;varones;2001TII;79,2
total;ya lo ha encontrado;varones;2001TI;81,5
total;ya lo ha encontrado;varones;2000TIV;35,7
total;ya lo ha encontrado;varones;2000TIII;44,7
total;ya lo ha encontrado;varones;2000TII;36,7
total;ya lo ha encontrado;varones;2000TI;41,4
total;ya lo ha encontrado;varones;1999TIV;33,2
total;ya lo ha encontrado;varones;1999TIII;46,7
total;ya lo ha encontrado;varones;1999TII;39,6
total;ya lo ha encontrado;varones;1999TI;37,2
total;ya lo ha encontrado;varones;1998TIV;26,9
total;ya lo ha encontrado;varones;1998TIII;40,5
total;ya lo ha encontrado;varones;1998TII;30,1
total;ya lo ha encontrado;varones;1998TI;27,9
total;ya lo ha encontrado;varones;1997TIV;23,3
total;ya lo ha encontrado;varones;1997TIII;33,8
total;ya lo ha encontrado;varones;1997TII;24,0
total;ya lo ha encontrado;varones;1997TI;27,6
total;ya lo ha encontrado;varones;1996TIV;17,6
total;ya lo ha encontrado;varones;1996TIII;23,0
total;ya lo ha encontrado;varones;1996TII;19,4
total;ya lo ha encontrado;varones;1996TI;17,5
total;ya lo ha encontrado;mujeres;2001TIV;68,1
total;ya lo ha encontrado;mujeres;2001TIII;91,0
total;ya lo ha encontrado;mujeres;2001TII;70,9
total;ya lo ha encontrado;mujeres;2001TI;78,9
total;ya lo ha encontrado;mujeres;2000TIV;33,5
total;ya lo ha encontrado;mujeres;2000TIII;47,1
total;ya lo ha encontrado;mujeres;2000TII;37,6
total;ya lo ha encontrado;mujeres;2000TI;32,9
total;ya lo ha encontrado;mujeres;1999TIV;33,4
total;ya lo ha encontrado;mujeres;1999TIII;51,5
total;ya lo ha encontrado;mujeres;1999TII;41,0
total;ya lo ha encontrado;mujeres;1999TI;28,6
total;ya lo ha encontrado;mujeres;1998TIV;25,9
total;ya lo ha encontrado;mujeres;1998TIII;35,2
total;ya lo ha encontrado;mujeres;1998TII;20,4
total;ya lo ha encontrado;mujeres;1998TI;14,5
total;ya lo ha encontrado;mujeres;1997TIV;21,3
total;ya lo ha encontrado;mujeres;1997TIII;23,1
total;ya lo ha encontrado;mujeres;1997TII;16,9
total;ya lo ha encontrado;mujeres;1997TI;18,4
total;ya lo ha encontrado;mujeres;1996TIV;12,1
total;ya lo ha encontrado;mujeres;1996TIII;17,3
total;ya lo ha encontrado;mujeres;1996TII;12,6
total;ya lo ha encontrado;mujeres;1996TI;10,4
buscan primer empleo;total;ambos sexos;2001TIV;340,1
buscan primer empleo;total;ambos sexos;2001TIII;351,4
buscan primer empleo;total;ambos sexos;2001TII;325,0
buscan primer empleo;total;ambos sexos;2001TI;316,8
buscan primer empleo;total;ambos sexos;2000TIV;485,6
buscan primer empleo;total;ambos sexos;2000TIII;525,9
buscan primer empleo;total;ambos sexos;2000TII;512,9
buscan primer empleo;total;ambos sexos;2000TI;552,7
buscan primer empleo;total;ambos sexos;1999TIV;603,1
buscan primer empleo;total;ambos sexos;1999TIII;627,9
buscan primer empleo;total;ambos sexos;1999TII;618,0
buscan primer empleo;total;ambos sexos;1999TI;655,7
buscan primer empleo;total;ambos sexos;1998TIV;757,8
buscan primer empleo;total;ambos sexos;1998TIII;789,4
buscan primer empleo;total;ambos sexos;1998TII;731,6
buscan primer empleo;total;ambos sexos;1998TI;747,2
buscan primer empleo;total;ambos sexos;1997TIV;804,1
buscan primer empleo;total;ambos sexos;1997TIII;810,8
buscan primer empleo;total;ambos sexos;1997TII;783,2
buscan primer empleo;total;ambos sexos;1997TI;792,5
buscan primer empleo;total;ambos sexos;1996TIV;820,9
buscan primer empleo;total;ambos sexos;1996TIII;830,1
buscan primer empleo;total;ambos sexos;1996TII;780,7
buscan primer empleo;total;ambos sexos;1996TI;803,0
buscan primer empleo;total;varones;2001TIV;109,2
buscan primer empleo;total;varones;2001TIII;117,2
buscan primer empleo;total;varones;2001TII;109,2
buscan primer empleo;total;varones;2001TI;105,9
buscan primer empleo;total;varones;2000TIV;161,9
buscan primer empleo;total;varones;2000TIII;172,4
buscan primer empleo;total;varones;2000TII;171,3
buscan primer empleo;total;varones;2000TI;186,2
buscan primer empleo;total;varones;1999TIV;195,7
buscan primer empleo;total;varones;1999TIII;202,7
buscan primer empleo;total;varones;1999TII;202,8
buscan primer empleo;total;varones;1999TI;230,3
buscan primer empleo;total;varones;1998TIV;266,3
buscan primer empleo;total;varones;1998TIII;283,6
buscan primer empleo;total;varones;1998TII;264,6
buscan primer empleo;total;varones;1998TI;271,2
buscan primer empleo;total;varones;1997TIV;284,6
buscan primer empleo;total;varones;1997TIII;292,9
buscan primer empleo;total;varones;1997TII;287,4
buscan primer empleo;total;varones;1997TI;298,1
buscan primer empleo;total;varones;1996TIV;308,5
buscan primer empleo;total;varones;1996TIII;311,2
buscan primer empleo;total;varones;1996TII;291,7
buscan primer empleo;total;varones;1996TI;296,3
buscan primer empleo;total;mujeres;2001TIV;231,0
buscan primer empleo;total;mujeres;2001TIII;234,3
buscan primer empleo;total;mujeres;2001TII;215,8
buscan primer empleo;total;mujeres;2001TI;210,9
buscan primer empleo;total;mujeres;2000TIV;323,7
buscan primer empleo;total;mujeres;2000TIII;353,5
buscan primer empleo;total;mujeres;2000TII;341,6
buscan primer empleo;total;mujeres;2000TI;366,6
buscan primer empleo;total;mujeres;1999TIV;407,4
buscan primer empleo;total;mujeres;1999TIII;425,2
