Situación de inactividad;Sexo;Periodo;Total
jubilado o pensionista;ambos sexos;1989TIV;5.190,6
jubilado o pensionista;ambos sexos;1989TIII;5.146,8
jubilado o pensionista;ambos sexos;1989TII;5.060,5
jubilado o pensionista;ambos sexos;1989TI;5.050,0
jubilado o pensionista;ambos sexos;1988TIV;5.010,4
jubilado o pensionista;ambos sexos;1988TIII;4.995,3
jubilado o pensionista;ambos sexos;1988TII;4.915,1
jubilado o pensionista;ambos sexos;1988TI;4.909,8
jubilado o pensionista;ambos sexos;1987TIV;4.873,9
jubilado o pensionista;ambos sexos;1987TIII;4.786,6
jubilado o pensionista;ambos sexos;1987TII;4.728,7
jubilado o pensionista;ambos sexos;1987TI;4.712,7
jubilado o pensionista;ambos sexos;1986TIV;4.630,9
jubilado o pensionista;ambos sexos;1986TIII;4.584,2
jubilado o pensionista;ambos sexos;1986TII;4.510,2
jubilado o pensionista;ambos sexos;1986TI;4.482,5
jubilado o pensionista;ambos sexos;1985TIV;4.411,2
jubilado o pensionista;ambos sexos;1985TIII;4.368,1
jubilado o pensionista;ambos sexos;1985TII;4.294,0
jubilado o pensionista;ambos sexos;1985TI;4.251,6
jubilado o pensionista;ambos sexos;1984TIV;4.154,4
jubilado o pensionista;ambos sexos;1984TIII;4.051,6
jubilado o pensionista;ambos sexos;1984TII;4.000,5
jubilado o pensionista;ambos sexos;1984TI;3.929,2
jubilado o pensionista;ambos sexos;1983TIV;3.849,0
jubilado o pensionista;ambos sexos;1983TIII;3.814,7
jubilado o pensionista;ambos sexos;1983TII;3.791,5
jubilado o pensionista;ambos sexos;1983TI;3.763,2
jubilado o pensionista;ambos sexos;1982TIV;3.722,8
jubilado o pensionista;ambos sexos;1982TIII;3.670,5
jubilado o pensionista;ambos sexos;1982TII;3.625,6
jubilado o pensionista;ambos sexos;1982TI;3.572,0
jubilado o pensionista;ambos sexos;1981TIV;3.514,3
jubilado o pensionista;ambos sexos;1981TIII;3.476,5
jubilado o pensionista;ambos sexos;1981TII;3.427,0
jubilado o pensionista;ambos sexos;1981TI;3.382,7
jubilado o pensionista;ambos sexos;1980TIV;3.327,0
jubilado o pensionista;ambos sexos;1980TIII;3.273,0
jubilado o pensionista;ambos sexos;1980TII;3.228,2
jubilado o pensionista;ambos sexos;1980TI;3.184,9
jubilado o pensionista;ambos sexos;1979TIV;3.106,5
jubilado o pensionista;ambos sexos;1979TIII;3.025,9
jubilado o pensionista;ambos sexos;1979TII;2.987,2
jubilado o pensionista;ambos sexos;1979TI;2.919,9
jubilado o pensionista;ambos sexos;1978TIV;2.851,6
jubilado o pensionista;ambos sexos;1978TIII;2.801,8
jubilado o pensionista;ambos sexos;1978TII;2.755,6
jubilado o pensionista;ambos sexos;1978TI;2.702,3
jubilado o pensionista;ambos sexos;1977TIV;2.609,2
jubilado o pensionista;ambos sexos;1977TIII;2.551,8
jubilado o pensionista;ambos sexos;1977TII;2.505,3
jubilado o pensionista;ambos sexos;1977TI;2.450,6
jubilado o pensionista;ambos sexos;1976TIV;2.385,5
jubilado o pensionista;ambos sexos;1976TIII;2.355,8
jubilado o pensionista;varones;1995TIV;3.106,2
jubilado o pensionista;varones;1995TIII;3.091,9
jubilado o pensionista;varones;1995TII;3.094,0
jubilado o pensionista;varones;1995TI;3.063,5
jubilado o pensionista;varones;1994TIV;3.066,5
jubilado o pensionista;varones;1994TIII;3.068,5
jubilado o pensionista;varones;1994TII;3.022,7
jubilado o pensionista;varones;1994TI;3.028,1
jubilado o pensionista;varones;1993TIV;2.998,0
jubilado o pensionista;varones;1993TIII;2.954,3
jubilado o pensionista;varones;1993TII;2.949,1
jubilado o pensionista;varones;1993TI;2.940,9
jubilado o pensionista;varones;1992TIV;2.925,5
jubilado o pensionista;varones;1992TIII;2.895,9
jubilado o pensionista;varones;1992TII;2.892,2
jubilado o pensionista;varones;1992TI;2.890,1
jubilado o pensionista;varones;1991TIV;2.815,9
jubilado o pensionista;varones;1991TIII;2.798,9
jubilado o pensionista;varones;1991TII;2.776,8
jubilado o pensionista;varones;1991TI;2.762,0
jubilado o pensionista;varones;1990TIV;2.766,4
jubilado o pensionista;varones;1990TIII;2.750,5
jubilado o pensionista;varones;1990TII;2.722,3
jubilado o pensionista;varones;1990TI;2.703,8
jubilado o pensionista;varones;1989TIV;2.709,4
jubilado o pensionista;varones;1989TIII;2.684,6
jubilado o pensionista;varones;1989TII;2.652,7
jubilado o pensionista;varones;1989TI;2.635,7
jubilado o pensionista;varones;1988TIV;2.618,0
jubilado o pensionista;varones;1988TIII;2.603,2
jubilado o pensionista;varones;1988TII;2.580,5
jubilado o pensionista;varones;1988TI;2.571,9
jubilado o pensionista;varones;1987TIV;2.529,5
jubilado o pensionista;varones;1987TIII;2.476,8
jubilado o pensionista;varones;1987TII;2.451,0
jubilado o pensionista;varones;1987TI;2.565,3
jubilado o pensionista;varones;1986TIV;2.522,1
jubilado o pensionista;varones;1986TIII;2.498,0
jubilado o pensionista;varones;1986TII;2.455,5
jubilado o pensionista;varones;1986TI;2.444,1
jubilado o pensionista;varones;1985TIV;2.409,0
jubilado o pensionista;varones;1985TIII;2.383,2
jubilado o pensionista;varones;1985TII;2.358,1
jubilado o pensionista;varones;1985TI;2.341,3
jubilado o pensionista;varones;1984TIV;2.301,7
jubilado o pensionista;varones;1984TIII;2.246,3
jubilado o pensionista;varones;1984TII;2.225,6
jubilado o pensionista;varones;1984TI;2.186,0
jubilado o pensionista;varones;1983TIV;2.133,6
jubilado o pensionista;varones;1983TIII;2.105,4
jubilado o pensionista;varones;1983TII;2.104,8
jubilado o pensionista;varones;1983TI;2.092,3
jubilado o pensionista;varones;1982TIV;2.069,7
jubilado o pensionista;varones;1982TIII;2.044,9
jubilado o pensionista;varones;1982TII;2.016,3
jubilado o pensionista;varones;1982TI;1.989,3
jubilado o pensionista;varones;1981TIV;1.957,3
jubilado o pensionista;varones;1981TIII;1.940,8
jubilado o pensionista;varones;1981TII;1.923,0
jubilado o pensionista;varones;1981TI;1.905,3
jubilado o pensionista;varones;1980TIV;1.882,2
jubilado o pensionista;varones;1980TIII;1.853,1
jubilado o pensionista;varones;1980TII;1.844,6
jubilado o pensionista;varones;1980TI;1.825,2
jubilado o pensionista;varones;1979TIV;1.779,7
jubilado o pensionista;varones;1979TIII;1.745,5
jubilado o pensionista;varones;1979TII;1.725,1
jubilado o pensionista;varones;1979TI;1.702,2
jubilado o pensionista;varones;1978TIV;1.679,2
jubilado o pensionista;varones;1978TIII;1.651,3
jubilado o pensionista;varones;1978TII;1.642,0
jubilado o pensionista;varones;1978TI;1.613,9
jubilado o pensionista;varones;1977TIV;1.581,5
jubilado o pensionista;varones;1977TIII;1.557,9
jubilado o pensionista;varones;1977TII;1.546,0
jubilado o pensionista;varones;1977TI;1.537,2
jubilado o pensionista;varones;1976TIV;1.506,9
jubilado o pensionista;varones;1976TIII;1.507,0
jubilado o pensionista;mujeres;1995TIV;2.765,2
jubilado o pensionista;mujeres;1995TIII;2.755,3
jubilado o pensionista;mujeres;1995TII;2.753,1
jubilado o pensionista;mujeres;1995TI;2.757,3
jubilado o pensionista;mujeres;1994TIV;2.764,9
jubilado o pensionista;mujeres;1994TIII;2.756,7
jubilado o pensionista;mujeres;1994TII;2.746,1
jubilado o pensionista;mujeres;1994TI;2.714,5
jubilado o pensionista;mujeres;1993TIV;2.697,9
jubilado o pensionista;mujeres;1993TIII;2.673,6
jubilado o pensionista;mujeres;1993TII;2.657,3
jubilado o pensionista;mujeres;1993TI;2.638,1
jubilado o pensionista;mujeres;1992TIV;2.645,6
