Sexo;Grupo de edad (5);Periodo;Total
ambos sexos;de 25 a 54 años;1989TIV;4.487,8
ambos sexos;de 25 a 54 años;1989TIII;4.534,9
ambos sexos;de 25 a 54 años;1989TII;4.558,8
ambos sexos;de 25 a 54 años;1989TI;4.584,8
ambos sexos;de 25 a 54 años;1988TIV;4.622,5
ambos sexos;de 25 a 54 años;1988TIII;4.607,3
ambos sexos;de 25 a 54 años;1988TII;4.603,3
ambos sexos;de 25 a 54 años;1988TI;4.558,3
ambos sexos;de 25 a 54 años;1987TIV;4.599,6
ambos sexos;de 25 a 54 años;1987TIII;4.666,2
ambos sexos;de 25 a 54 años;1987TII;4.774,1
ambos sexos;de 25 a 54 años;1987TI;4.887,0
ambos sexos;de 25 a 54 años;1986TIV;4.910,8
ambos sexos;de 25 a 54 años;1986TIII;4.964,2
ambos sexos;de 25 a 54 años;1986TII;4.977,0
ambos sexos;de 25 a 54 años;1986TI;4.988,5
ambos sexos;de 25 a 54 años;1985TIV;5.017,1
ambos sexos;de 25 a 54 años;1985TIII;5.045,6
ambos sexos;de 25 a 54 años;1985TII;5.042,3
ambos sexos;de 25 a 54 años;1985TI;5.019,6
ambos sexos;de 25 a 54 años;1984TIV;5.043,9
ambos sexos;de 25 a 54 años;1984TIII;5.060,3
ambos sexos;de 25 a 54 años;1984TII;5.061,8
ambos sexos;de 25 a 54 años;1984TI;5.043,5
ambos sexos;de 25 a 54 años;1983TIV;5.020,3
ambos sexos;de 25 a 54 años;1983TIII;5.044,0
ambos sexos;de 25 a 54 años;1983TII;5.069,1
ambos sexos;de 25 a 54 años;1983TI;5.071,9
ambos sexos;de 25 a 54 años;1982TIV;5.088,3
ambos sexos;de 25 a 54 años;1982TIII;5.094,9
ambos sexos;de 25 a 54 años;1982TII;5.134,4
ambos sexos;de 25 a 54 años;1982TI;5.142,2
ambos sexos;de 25 a 54 años;1981TIV;5.143,8
ambos sexos;de 25 a 54 años;1981TIII;5.190,2
ambos sexos;de 25 a 54 años;1981TII;5.196,5
ambos sexos;de 25 a 54 años;1981TI;5.180,6
ambos sexos;de 25 a 54 años;1980TIV;5.143,2
ambos sexos;de 25 a 54 años;1980TIII;5.137,6
ambos sexos;de 25 a 54 años;1980TII;5.112,5
ambos sexos;de 25 a 54 años;1980TI;5.066,0
ambos sexos;de 25 a 54 años;1979TIV;5.063,6
ambos sexos;de 25 a 54 años;1979TIII;5.086,7
ambos sexos;de 25 a 54 años;1979TII;5.105,5
ambos sexos;de 25 a 54 años;1979TI;5.065,6
ambos sexos;de 25 a 54 años;1978TIV;5.107,1
ambos sexos;de 25 a 54 años;1978TIII;5.112,0
ambos sexos;de 25 a 54 años;1978TII;5.100,9
ambos sexos;de 25 a 54 años;1978TI;5.045,7
ambos sexos;de 25 a 54 años;1977TIV;5.048,6
ambos sexos;de 25 a 54 años;1977TIII;5.084,7
ambos sexos;de 25 a 54 años;1977TII;5.082,1
ambos sexos;de 25 a 54 años;1977TI;5.049,6
ambos sexos;de 25 a 54 años;1976TIV;5.053,9
ambos sexos;de 25 a 54 años;1976TIII;5.031,5
ambos sexos;de 55 y más años;1995TIV;8.326,8
