Sexo;Edad;Estado civil;Periodo;Total
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2019T4;0,7
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2019T3;0,6
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2019T2;0,4
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2019T1;2,5
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2018T4;1,9
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2018T3;2,3
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2018T2;1,8
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2018T1;3,2
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2017T4;2,5
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2017T3;1
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2017T2;0,6
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2017T1;0,6
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2016T4;0,5
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2016T3;0,7
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2016T2;2,3
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2016T1;1,5
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2015T4;3,9
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2015T3;2,2
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2015T2;1,9
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2015T1;1,9
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2014T4;2,5
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2014T3;3,4
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2014T2;2,5
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2014T1;1,8
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2013T4;2,1
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2013T3;1,7
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2013T2;3,2
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2013T1;3,6
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2012T4;4,1
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2012T3;4
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2012T2;8,9
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2012T1;9,2
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2011T4;6,6
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2011T3;5,8
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2011T2;7,5
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2011T1;5,2
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2010T4;5,1
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2010T3;3
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2010T2;3,8
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2010T1;3,4
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2009T4;2,7
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2009T3;5
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2009T2;4,4
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2009T1;5,7
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2008T4;2,6
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2008T3;1,8
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2008T2;3,4
Mujeres;De 20 a 24 años;Separados/Separadas o Divorciados/Divorciadas;2008T1;2,9
