Sexo;Nivel de formación alcanzado;Edad;Periodo;Total
Ambos sexos;Total;De 50 a 54 años;2014T4;3.386,5
Ambos sexos;Total;De 50 a 54 años;2014T3;3.369,0
Ambos sexos;Total;De 50 a 54 años;2014T2;3.349,5
Ambos sexos;Total;De 50 a 54 años;2014T1;3.324,8
Ambos sexos;Total;De 55 a 59 años;2025T4;3.696,1
Ambos sexos;Total;De 55 a 59 años;2025T3;3.684,5
Ambos sexos;Total;De 55 a 59 años;2025T2;3.672,3
Ambos sexos;Total;De 55 a 59 años;2025T1;3.661,4
Ambos sexos;Total;De 55 a 59 años;2024T4;3.652,3
Ambos sexos;Total;De 55 a 59 años;2024T3;3.642,9
Ambos sexos;Total;De 55 a 59 años;2024T2;3.634,5
Ambos sexos;Total;De 55 a 59 años;2024T1;3.627,5
Ambos sexos;Total;De 55 a 59 años;2023T4;3.617,7
Ambos sexos;Total;De 55 a 59 años;2023T3;3.605,3
Ambos sexos;Total;De 55 a 59 años;2023T2;3.589,7
