Sexo;Nivel de formación alcanzado;Edad;Periodo;Total
Ambos sexos;Total;De 50 a 54 años;2018T3;2.948,3
Ambos sexos;Total;De 50 a 54 años;2018T2;2.947
Ambos sexos;Total;De 50 a 54 años;2018T1;2.928,7
Ambos sexos;Total;De 50 a 54 años;2017T4;2.933
Ambos sexos;Total;De 50 a 54 años;2017T3;2.883,7
Ambos sexos;Total;De 50 a 54 años;2017T2;2.888,2
Ambos sexos;Total;De 50 a 54 años;2017T1;2.879,6
Ambos sexos;Total;De 50 a 54 años;2016T4;2.861,3
Ambos sexos;Total;De 50 a 54 años;2016T3;2.819,8
Ambos sexos;Total;De 50 a 54 años;2016T2;2.841,8
Ambos sexos;Total;De 50 a 54 años;2016T1;2.808,2
Ambos sexos;Total;De 50 a 54 años;2015T4;2.797,1
Ambos sexos;Total;De 50 a 54 años;2015T3;2.771,4
Ambos sexos;Total;De 50 a 54 años;2015T2;2.794,8
Ambos sexos;Total;De 50 a 54 años;2015T1;2.765,5
Ambos sexos;Total;De 50 a 54 años;2014T4;2.764,3
Ambos sexos;Total;De 50 a 54 años;2014T3;2.688,2
Ambos sexos;Total;De 50 a 54 años;2014T2;2.699,8
Ambos sexos;Total;De 50 a 54 años;2014T1;2.680,3
Ambos sexos;Total;De 55 a 59 años;2025T4;2.910,8
Ambos sexos;Total;De 55 a 59 años;2025T3;2.894,7
Ambos sexos;Total;De 55 a 59 años;2025T2;2.877,1
Ambos sexos;Total;De 55 a 59 años;2025T1;2.872
Ambos sexos;Total;De 55 a 59 años;2024T4;2.836,7
Ambos sexos;Total;De 55 a 59 años;2024T3;2.856,7
Ambos sexos;Total;De 55 a 59 años;2024T2;2.844,4
Ambos sexos;Total;De 55 a 59 años;2024T1;2.832,4
Ambos sexos;Total;De 55 a 59 años;2023T4;2.812,9
Ambos sexos;Total;De 55 a 59 años;2023T3;2.778,5
Ambos sexos;Total;De 55 a 59 años;2023T2;2.745,6
Ambos sexos;Total;De 55 a 59 años;2023T1;2.737,6
Ambos sexos;Total;De 55 a 59 años;2022T4;2.689,9
Ambos sexos;Total;De 55 a 59 años;2022T3;2.667,2
Ambos sexos;Total;De 55 a 59 años;2022T2;2.653,6
Ambos sexos;Total;De 55 a 59 años;2022T1;2.626,1
Ambos sexos;Total;De 55 a 59 años;2021T4;2.645,2
Ambos sexos;Total;De 55 a 59 años;2021T3;2.603,8
