fecha,año,trimestre,pib_pm,demanda_nacional,consumo_privado_nacional,consumo_privado_interior,consumo_publico,fbcf,variacion_existencias,exportacion_bienes_servicios,exportacion_bienes,exportacion_servicios,importacion_bienes_servicios,importacion_bienes,importacion_servicios,tasa_inversion,apertura_comercial,saldo_comercial_pct_pib,consumo_publico_pct_pib,pib_index_base
2008-04-01,2008,2,364537.90168725786,382426.5084143118,203832.44277899203,209880.31944207684,69653.22848851101,103703.93445752152,4468.0075537527255,96147.59519852076,65519.30140824094,30628.29379027981,114036.20192557469,96749.45009731394,17286.751828260756,28.448052720315093,57.65759778373197,-4.907200772335822,19.107266532813778,264.83351075252415
2008-07-01,2008,3,351781.3145013084,361725.1480526053,201044.0834906373,211762.82875696733,61760.203650648094,95380.45050857653,2606.8758198679907,98441.09174546892,62080.04976121544,36361.04198425348,108384.92529676588,89543.90908444315,18841.01621232272,27.113563619429186,58.79391784507801,-2.826708850466809,17.55641960068302,255.5659647606289
2008-10-01,2008,4,365541.6998292613,380560.0600323334,202405.8428553725,204428.71883599288,74920.15534761468,98050.36266341964,4320.385029634191,83020.55941583111,57327.11012835386,25693.449287477262,98038.91961890324,79801.2495585522,18237.67006035104,26.823304347826095,49.53182608695653,-4.108521739130436,20.495652173913044,265.56276108507717
2009-01-01,2009,1,332229.9171418992,338530.34696539154,203241.16217742,204518.18961159704,63838.53726227533,82295.75488126972,-11624.158262654357,72107.77119031794,50651.14340682943,21456.62778348852,78408.20101381029,63558.7463269481,14849.454686862196,24.770723717250384,45.30476168401208,-1.8964065240402066,19.21516816169483,241.36205021883688
2009-04-01,2009,2,347970.29004435067,346131.70545495185,191091.75395999145,196858.51338592288,73813.5013396069,77443.52732380458,3108.9025628088248,80459.41763780806,52753.2347573663,27706.18288044176,78620.83304840923,63583.42811141344,15037.4049369958,22.25578721503321,45.71661869924058,0.5283740141046215,21.212587238467677,252.79728972895623
2009-07-01,2009,3,339364.5530360983,338484.74832691986,191800.02189502853,201425.96781344403,65352.10142130514,77360.52734864634,3324.5717771610293,84313.3203158707,51931.83548867463,32381.48482719607,83433.51560669225,66538.15083751325,16895.364769179003,22.795700569357187,49.42968687266512,0.2592506204043263,19.25719726372059,246.54529910202916
2009-10-01,2009,4,356858.5902647323,365161.2496345926,198345.84669935625,200207.3379128356,79401.92047839219,81724.3158949347,5101.864807313843,79574.28077593658,55920.06423812287,23654.216537813703,87876.94014579692,71366.10038398945,16510.83976180746,22.90103646778077,46.923690641021516,-2.326596471644717,22.250247757659018,259.2545599910909
2010-01-01,2010,1,332288.2021953059,339506.0741834785,204792.17416272903,205925.95209568864,65507.169459888464,73300.928652104,-4731.787495719181,79309.18041928452,57552.72745404487,21756.452965239645,86527.05240745707,71652.96571553459,14874.086691922475,22.05944362990673,49.907349021458664,-2.1721722108960626,19.713961864160897,241.40439378653355
2010-04-01,2010,2,348748.7874828347,351870.95963150763,196953.3231110191,202457.43708600776,74692.15981699161,76229.75659293422,3353.2560571960976,90065.58819280771,61385.789699833294,28679.798492974423,93187.76034148064,77874.00748050293,15313.75286097771,21.858070717073453,52.54594570979204,-0.8952496068037497,21.41718121978214,253.3628611243895
2010-07-01,2010,3,339845.14909050404,337825.1940572298,196809.83131498384,207181.17533986177,64974.789175307495,73293.84854089847,2040.6459939223637,94243.44619713566,59908.09018659532,34335.35601054035,92223.49116386144,75599.59746812508,16623.893695736366,21.56683675993257,54.8682062580623,0.5943751260478602,19.118939713923673,246.89444781812418
