fecha,año,mes,ed_pasivo_total,ed_pasivo_depositos_total,ed_pasivo_depositos_esp,ed_pasivo_depositos_sector_publico,ed_pasivo_sector_privado,ed_pasivo_deposito_resto_mundo,ed_pasivo_deuda_emitida,ed_pasivo_patrimonio_ajustes,ec_efc_pasivo_obra_social,ed_pasivo_periodificacion_otros,depositos_share,crecimiento_depositos_yoy,deuda_emitida_share
1996-01-01,1996,3,,1214047.8479632698,312034.0919490439,20023.157218866607,719087.8041518192,162902.79464354014,32221.919638487256,,2177.2318125,70821.64779905163,,5.44161464352424,
1996-04-01,1996,6,,1212618.0274826526,296678.37264124904,21754.79840690054,722354.4814505012,171830.37498400157,31411.36989672321,,2572.772313338474,73819.31119818814,,4.977460076524576,
1996-07-01,1996,9,,1225521.4545235145,301820.80677473964,22085.98806943168,721081.8490780485,180532.81254319847,31988.328022633275,,2354.3606535692406,71640.71266279873,,4.995160721598335,
1996-10-01,1996,12,,1242416.168662079,294559.8513734177,24866.00481984902,735451.6986908647,187538.6118446317,31689.01949294647,,2193.2536817141986,74205.70993667073,,1.909774758860383,
1997-01-01,1997,3,,1241170.7865759695,273622.1577410266,23118.892638593155,722279.1262619771,222150.6099343726,31948.74740749049,,2363.139002281369,76380.72723714828,,2.2340914040745785,
1997-04-01,1997,6,,1281037.8208684714,289196.8419801094,26522.87725542819,743654.3451387036,221663.75649423027,34145.49210670363,,2862.608789629518,80840.12364986337,,5.642320321416938,
1997-07-01,1997,9,,1281750.107826539,292569.99664245493,25728.878363025528,735014.9701177928,228436.2627032658,33842.88916167418,,2615.449548573574,76742.5662524775,,4.588141080311514,
1997-10-01,1997,12,,1305898.971738414,292745.38359829574,27765.984642061598,752418.010309239,232969.59318881744,33802.7272824787,,2317.123794924503,74201.03549704739,,5.109624671473623,
1998-01-01,1998,3,,1330108.171815526,286983.317137104,24703.854448782127,741831.7448137328,276589.255415907,34581.29124962642,,2708.710049760908,75912.41767767484,,7.16560413776004,
1998-04-01,1998,6,,1348467.9861204256,301457.71272634633,25431.22760011901,745348.0580241744,276230.9896556457,36167.35236655757,,3019.625611834276,81900.78546466825,,5.263713853993823,
1998-07-01,1998,9,,1341525.9686898445,290280.01105391426,27062.97003618906,734872.9052098965,289310.0823898448,36490.55478936483,,2756.268115472673,85104.8630429468,,4.663612704091524,
1998-10-01,1998,12,,1378752.787604821,304183.78375902993,32375.6794155241,756091.1948791096,286102.1295511573,37220.04438891346,,2448.5750952012386,84967.69139573198,,5.578824812873839,
1999-01-01,1999,3,,1381359.3565918591,270419.0432645791,29860.70716051593,759256.5287833967,321823.07738336746,44462.78720235312,,2807.418401088863,90333.34583477052,,3.853159153693353,
1999-04-01,1999,6,,1398458.641671022,265184.6176692386,26676.61017491629,766117.5905770127,340479.8232498544,47479.817614463536,,3157.7767640486245,91908.8181969719,,3.7072185669324353,
1999-07-01,1999,9,,1391346.4362165397,266830.69537789945,28233.476425298948,769474.0422184123,326808.2221949287,58858.59588132113,,2900.1120208543434,93330.84322727272,,3.7137162223815023,
1999-10-01,1999,12,,1438106.3223961466,281197.0776330755,32273.382091534164,789926.3390930382,334709.52357849875,77371.83451872942,,2557.778096153846,97772.06469621114,,4.304871426184742,
2000-01-01,2000,3,,1439502.4309133769,248380.8876330588,29571.667860621987,807774.121053323,353775.75436637324,69554.355180382,,2897.294434606646,101861.09935962796,,4.209120099274566,
2000-04-01,2000,6,,1458190.351456468,246895.5379118806,29146.102013407937,819153.7797337415,362994.931797438,65669.92084836007,,3363.949775056306,103934.6942922649,,4.271253221623517,
2000-07-01,2000,9,,1471600.6857016054,223692.2516585951,32158.733841648143,832174.4565490553,383575.24365230696,67700.43000437746,,3071.372527272096,107484.13031927464,,5.7680996907786275,
2000-10-01,2000,12,,1534847.2885016191,244042.47945869504,34925.51531035552,856172.5953958936,399706.6983366749,69770.21000719994,,2665.757895066832,118322.27255753064,,6.726968972939673,
2001-01-01,2001,3,,1570753.9298527138,235323.16220474432,51306.03796670768,853187.1703241727,430937.5593570891,73431.54934276729,,3125.453232465135,122216.70967240908,,9.117837950162876,
2001-04-01,2001,6,,1584594.2601514517,218232.89445081027,55290.308493079,884254.9405116813,426816.1166958811,73256.80006488858,,3521.553216306549,122948.48911323427,,8.66854650140354,
2001-07-01,2001,9,,1583224.7308584338,222463.35884784945,51659.98320057122,893404.6974102148,415696.6913997983,75708.16302389112,,3235.963643716397,122875.9728832661,,7.58521290737304,
2001-10-01,2001,12,,1650759.723498826,233719.10201526023,56509.22874634424,936227.1979156156,424304.1948216058,85772.71021055809,,2801.267535115374,124643.49472132412,,7.55205002253776,
2002-01-01,2002,3,,1650882.6040127813,223995.2796828652,56314.624750465984,940144.7148950872,430427.98468436295,92596.61742381175,,3334.7683696911195,114903.2738102117,,5.101287517872444,
2002-04-01,2002,6,,1671066.5236617264,229637.4150320966,56382.28358915719,946476.8539375736,438569.9711028988,86161.03444496794,,3643.874633457663,122332.20031880646,,5.457060250995105,
2002-07-01,2002,9,,1686850.4235957055,222961.73947748105,60401.31137536004,954385.7904066507,449101.5823362136,92189.8270926944,,3343.5567107554334,118976.85042959543,,6.545229538012931,
