fecha,año,trimestre,periodo,IPRI_total_industria_2021,IPRI_industrias_extractivas_2021,IPRI_industria_manufacturera_2021,IPRI_suministro_energia_electrica_gas_vapor_aire_acondicionado_2021,IPRI_energia_2021,IPRI_bienes_equipo_2021,IPRI_bienes_intermedios_2021,IPRI_bienes_consumo_2021,IPRI_bienes_consumo_duradero_2021,IPRI_bienes_consumo_no_duradero_2021,IPRI_total_industria_2025,IPRI_industrias_extractivas_2025,IPRI_industria_manufacturera_2025,IPRI_suministro_energia_electrica_gas_vapor_aire_acondicionado_2025,IPRI_energia_2025,IPRI_bienes_equipo_2025,IPRI_bienes_intermedios_2025,IPRI_bienes_consumo_2025,IPRI_bienes_consumo_duradero_2025,IPRI_bienes_consumo_no_duradero_2025
1982-09-01,1982,3,1982Q3,31.59,40.01,34.46,19.44,25.47,36.68,35.43,32.59,38.33,31.51,25.177500448317318,33.13343224871467,28.987417195331393,14.649125561242112,19.1441385012402,32.437451637864335,31.084855308757508,26.224099778716557,34.08221939002342,25.223638655966695
1982-10-01,1982,4,1982Q4,31.87,40.01,34.83,19.44,25.47,36.93,35.71,33.14,39.06,31.98,25.400662845453404,33.13343224871467,29.29865760050471,14.649125561242112,19.1441385012402,32.65853568665021,31.330516033749106,26.666666666666668,34.7313198375767,25.599871920590765
1982-11-01,1982,4,1982Q4,32.14,40.01,35.13,19.44,25.47,37.27,35.99,33.53,40.19,32.22,25.615855156977478,33.13343224871467,29.55101468578038,14.649125561242112,19.1441385012402,32.959209992999014,31.576176758740697,26.98048682357675,35.73609176324135,25.79199103444135
1982-12-01,1982,4,1982Q4,33.03,40.01,36.1,19.44,29.45,37.6,36.2,33.77,40.52,32.38,26.325192776445743,33.13343224871467,30.366969261505034,14.649125561242112,22.13564502793576,33.25104093739637,31.760422302484393,27.173606920136802,36.02952073268325,25.920070443675076
1983-01-01,1983,1,1983Q1,33.71,43.82,36.78,20.45,29.92,38.68,36.89,34.32,41.73,32.85,26.86715859806195,36.288602877747486,30.93897865479654,15.41021696128607,22.48891338661589,34.20612402815137,32.36580051764224,27.61617380808691,37.10542695397018,26.296303708299146
1983-02-01,1983,1,1983Q1,34.26,43.98,37.38,20.45,29.92,39.51,37.73,34.71,42.62,33.16,27.305513306722105,36.42110348159139,31.443692825347867,15.41021696128607,22.48891338661589,34.94012307012049,33.10278269261701,27.929993964996985,37.89679599276801,26.544457563689484
1983-03-01,1983,1,1983Q1,34.46,44.23,37.68,20.54,30.13,39.76,38.01,35.03,43.03,33.39,27.464915018962166,36.628135675097475,31.69604991062353,15.478036987032562,22.646756695813394,35.161207118906376,33.34844341760861,28.187487427077052,38.26135925783219,26.728571714462962
1983-04-01,1983,2,1983Q2,34.81,44.87,38.05,20.58,30.13,40.0,38.57,35.27,43.43,33.63,27.743868015382272,37.15813809047307,32.00729031579685,15.508179220697668,22.646756695813394,35.373447805740824,33.839764867591796,28.380607523637096,38.61703073594357,26.920690828313553
1983-05-01,1983,2,1983Q2,35.01,44.79,38.35,20.58,30.13,40.34,38.92,35.66,44.32,34.02,27.903269727622327,37.09188778855112,32.25964740107252,15.508179220697668,22.646756695813394,35.67412211208962,34.146840773831286,28.694427680547175,39.4083997747414,27.23288438832076
1983-06-01,1983,2,1983Q2,35.35,45.2,38.73,20.58,30.13,40.83,39.34,35.97,44.57,34.33,28.17425263843043,37.43142058590111,32.57929970908836,15.508179220697668,22.646756695813394,36.10744684770994,34.51533186131867,28.943874471937235,39.630694448561016,27.481038243711097
