fecha,año,mes,trimestre,periodo,ipi_constantes_2025_total_industria,ipi_constantes_2025_energia,ipi_constantes_2025_bienes_equipo,ipi_constantes_2025_bienes_intermedios,ipi_constantes_2025_bienes_consumo
1993-07-01,1993,7,3,1993T3,119.88453405833333,103.0753225,113.56314549999998,109.14109286666665,123.43614374999999
1993-08-01,1993,8,3,1993T3,69.82986470833335,100.02596930000001,42.14686699999999,56.36000626666666,77.1474345
1993-09-01,1993,9,3,1993T3,119.57587990833335,105.51533723333331,111.36827887499997,107.94773971666666,123.85370775
1993-10-01,1993,10,4,1993T4,119.42155283333331,112.3763819333333,108.00191208333332,111.22803615,118.70996550000001
1993-11-01,1993,11,4,1993T4,122.35627664166665,111.76704346666666,112.39277612499998,113.76291428333333,122.18593725000002
1993-12-01,1993,12,4,1993T4,113.08661460833332,115.88340419999999,103.6121788333333,98.40547365000002,115.37442449999999
1994-01-01,1994,1,1,1994T1,112.00632508333331,122.13511043333334,89.12334520833332,103.02729506666667,112.45520475
1994-02-01,1994,2,1,1994T1,116.94981024999998,111.15637456666666,104.78254820833331,107.79956788333335,117.59894699999998
1994-03-01,1994,3,1,1994T1,127.29976180833332,115.88340419999997,115.02638991666666,119.72740046666668,126.6337395
1994-04-01,1994,4,2,1994T2,119.26722575833332,110.08936703333332,107.56316491666665,113.01749598333335,117.181383
1994-05-01,1994,5,2,1994T2,125.44658221666663,105.82000646666665,113.41727337500001,121.2182370666667,124.826781
1994-06-01,1994,6,2,1994T2,129.61717731666667,108.2600212,121.46624845833331,122.85838528333333,129.55295925
1994-07-01,1994,7,3,1994T3,126.21947228333335,113.29172006666666,117.807006625,116.8938991,126.4945515
1994-08-01,1994,8,3,1994T3,78.94519966666665,106.73534459999999,44.48873654166667,68.43715046666665,86.32265774999999
1994-09-01,1994,9,3,1994T3,128.84554194166665,111.30937439999998,116.782509375,121.51572051666668,130.66522049999998
1994-10-01,1994,10,4,1994T4,128.22697895,110.24236686666663,115.75914291666665,121.9636553666667,129.13539525
1994-11-01,1994,11,4,1994T4,134.09768125833332,111.61404363333331,123.95399012499998,127.33089508333335,135.11302275000003
1994-12-01,1994,12,4,1994T4,122.8205125583333,117.71408046666666,115.46626787500001,113.9122259,118.43283225000002
1995-01-01,1995,1,1,1995T1,128.072651875,123.35511780000002,115.75914291666665,123.0076969,121.07367599999999
1995-02-01,1995,2,1,1995T1,124.82801922499998,108.10702136666666,118.24688458333331,120.17419553333335,119.68303875
1995-03-01,1995,3,1,1995T1,140.12271064166666,116.64574249999997,134.63657899999998,137.17178438333335,132.88850025
1995-04-01,1995,4,2,1995T2,119.73020698333332,105.21066799999998,114.88051779166665,117.93794063333334,110.23068224999999
1995-05-01,1995,5,2,1995T2,137.65096805833332,111.76704346666665,134.49070687499997,135.53163616666666,129.69214724999998
1995-06-01,1995,6,2,1995T2,138.57818519999998,111.15637456666668,136.3926984583333,134.33828301666668,133.02768824999998
1995-07-01,1995,7,3,1995T3,130.5443944583333,109.78469779999999,127.75910408333331,126.13868171666664,123.99289574999999
1995-08-01,1995,8,3,1995T3,82.80714061666666,107.34468306666665,49.464219875,75.29522678333332,86.32265774999999
1995-09-01,1995,9,3,1995T3,129.77275908333334,110.24236686666666,122.34374279166666,124.34922188333333,127.05130349999999
1995-10-01,1995,10,4,1995T4,132.86180996666664,111.30937439999998,127.46622904166664,127.18158346666668,129.13539525
1995-11-01,1995,11,4,1995T4,135.6422067,113.44471990000002,131.85709308333333,127.03341163333333,134.69670149999996
1995-12-01,1995,12,4,1995T4,116.94981024999996,118.17041909999999,111.368278875,105.5621732,112.59439275
1996-01-01,1996,1,1,1996T1,126.21947228333333,123.96445626666667,115.46626787499999,121.96365536666666,116.06912174999998
1996-02-01,1996,2,1,1996T1,125.90956344166663,116.95174216666665,123.80811799999998,119.4287772333333,116.62587374999998
1996-03-01,1996,3,1,1996T1,130.85304860833332,116.03640403333333,130.24684574999998,126.43616516666667,119.82222674999997
1996-04-01,1996,4,2,1996T2,120.81175119999996,103.07532249999997,123.36824004166665,117.34183395,109.67517299999999
1996-05-01,1996,5,2,1996T2,133.32604588333336,106.27767553333332,136.53970137499996,129.56714998333337,124.54840500000002
1996-06-01,1996,6,2,1996T2,130.54439445833333,107.0400138333333,133.3203375,125.2439518,122.88063449999999
1996-07-01,1996,7,3,1996T3,135.6422067,109.48002856666662,138.44169295833333,127.92700176666665,131.35991775
1996-08-01,1996,8,3,1996T3,81.57126932500002,102.77065326666663,52.098964458333334,73.80439018333334,84.79283249999999
1996-09-01,1996,9,3,1996T3,128.69121486666663,105.82000646666665,129.368220625,124.19991026666666,121.07367599999999
1996-10-01,1996,10,4,1996T4,141.04992778333332,111.61404363333332,141.662187625,137.02247276666668,134.00076149999998
1996-11-01,1996,11,4,1996T4,133.48037295833333,115.8834042,133.46620962499998,126.88410001666668,125.52147824999997
1996-12-01,1996,12,4,1996T4,118.95731691666667,115.12106589999998,119.12437891666666,108.69315801666667,111.4821315
1997-01-01,1997,1,1,1997T1,129.92708615833334,128.23514726666667,122.34374279166663,122.70907366666665,120.65611199999998
1997-02-01,1997,2,1,1997T1,125.44658221666666,108.56469043333333,121.61212058333332,117.93794063333335,122.46431324999999
1997-03-01,1997,3,1,1997T1,130.69872153333333,111.91871286666665,128.05197912499997,126.28685355000002,122.74144650000001
1997-04-01,1997,4,2,1997T2,142.28579907499997,116.6457425,142.10093479166667,138.8119326,133.02768824999998
1997-05-01,1997,5,2,1997T2,137.18798683333333,115.73173480000003,137.41719570833328,133.74217633333333,126.49455149999999
1997-06-01,1997,6,2,1997T2,140.43261948333333,113.13872023333333,147.07641812499998,134.48759463333332,130.94359649999998
1997-07-01,1997,7,3,1997T3,146.92063009166662,118.32341893333333,153.51514587499997,139.25872766666666,139.28369174999997
1997-08-01,1997,8,3,1997T3,88.05927993333331,113.74938913333334,59.708061583333325,80.51429466666667,86.87816699999999
1997-09-01,1997,9,3,1997T3,142.28579907499997,117.56108063333332,147.51516529166665,137.02247276666668,131.35991775000002
1997-10-01,1997,10,4,1997T4,153.5642224666667,117.40808080000001,159.66212937499995,148.95030535,144.42619125
1997-11-01,1997,11,4,1997T4,141.977144925,119.54342629999995,147.36929316666667,137.47040761666668,129.13539525
1997-12-01,1997,12,4,1997T4,131.4716116,125.33746346666666,129.66109566666665,122.26113881666662,123.15901049999998
1998-01-01,1998,1,1,1998T1,135.79778846666667,123.20211796666665,132.73458741666667,130.01508483333336,126.07823024999998
1998-02-01,1998,2,1,1998T1,140.27703771666663,114.66339683333331,143.27130416666665,133.89148795000003,132.75055499999996
1998-03-01,1998,3,1,1998T1,149.083718525,120.91510306666663,153.66214879166665,145.52069730000005,136.91998124999998
1998-04-01,1998,4,2,1998T2,138.115203975,113.4447199,141.22230966666666,135.53163616666666,125.79985424999995
1998-05-01,1998,5,2,1998T2,144.75754165833334,111.15637456666666,150.44278491666665,143.73237725,132.054615
1998-06-01,1998,6,2,1998T2,152.17276940833332,114.9693965,162.5886182083333,148.20488705,140.256765
1998-07-01,1998,7,3,1998T3,155.41740205833332,123.3551178,158.3447570833333,148.80099373333334,148.73604824999998
1998-08-01,1998,8,3,1998T3,94.08430931666665,116.4940731,64.53767279166665,86.62695268333334,93.96805574999999
1998-09-01,1998,9,3,1998T3,147.3836113166666,115.73173479999997,153.07639870833333,142.38971248333334,138.31061849999998
1998-10-01,1998,10,4,1998T4,152.01844233333333,118.01874969999997,158.05188204166663,147.75809198333334,142.06372349999995
1998-11-01,1998,11,4,1998T4,150.01093566666665,122.89744873333333,157.17438770833334,144.32848393333333,138.03224249999997
1998-12-01,1998,12,4,1998T4,137.65096805833332,135.24786136666665,136.83257641666663,126.58547678333335,127.74600075
1999-01-01,1999,1,1,1999T1,138.73251227499998,135.5538610333333,134.63657899999998,130.90981474999998,127.19049149999998
1999-02-01,1999,2,1,1999T1,140.12271064166663,119.23875706666665,145.6131737083333,133.89148795,128.719074
1999-03-01,1999,3,1,1999T1,152.01844233333333,117.56108063333332,159.07637929166663,148.80099373333334,140.256765
1999-04-01,1999,4,2,1999T2,141.2042548583333,110.70003593333331,141.36931258333328,139.5573509,132.054615
1999-05-01,1999,5,2,1999T2,149.23804559999996,115.57873496666667,152.63765154166666,150.1436585,134.41832549999998
1999-06-01,1999,6,2,1999T2,154.95442083333333,117.10341156666667,162.14987104166664,152.97602008333334,142.34085675
1999-07-01,1999,7,3,1999T3,157.7348175666666,127.62447836666666,167.85697658333333,152.23060178333338,143.73149399999994
1999-08-01,1999,8,3,1999T3,99.646357475,119.84809553333332,64.83054783333333,93.18754555000001,101.890587
1999-09-01,1999,9,3,1999T3,153.56422246666665,125.49046329999999,161.85699599999998,147.9074036,140.53389825
1999-10-01,1999,10,4,1999T4,151.70978818333333,122.43977966666665,154.53964312499997,149.69572365,138.4498065
1999-11-01,1999,11,4,1999T4,157.88914464166663,130.52216216666667,165.954985,150.59045356666664,145.95601649999998
1999-12-01,1999,12,4,1999T4,145.0661958083333,138.14554516666666,142.53968195833332,133.74217633333336,137.61467849999997
2000-01-01,2000,1,1,2000T1,145.68475879999997,149.58195009999997,141.51518470833332,137.91720268333336,129.27458324999998
2000-02-01,2000,2,1,2000T1,153.87287661666664,134.18085383333334,166.24786004166663,147.9074036,134.83464674999996
2000-03-01,2000,3,1,2000T1,167.46746082500002,134.79152273333332,181.1743100416666,161.92217946666665,150.54300675
2000-04-01,2000,4,2,2000T2,141.04992778333332,122.74577933333337,145.61317370833333,138.36399775,124.40921699999998
2000-05-01,2000,5,2,2000T2,163.60551987499997,126.55747083333333,180.00394066666658,161.62355623333335,143.17598474999997
2000-06-01,2000,6,2,2000T2,163.14253865,126.86214006666667,180.58969075000002,158.94050626666666,144.84375524999996
2000-07-01,2000,7,3,2000T3,157.88914464166663,132.80917706666662,169.17434887499994,149.09961696666667,145.12213125
2000-08-01,2000,8,3,2000T3,106.90725814999998,127.92914759999996,76.830509,99.89631024999998,104.67061874999997
2000-09-01,2000,9,3,2000T3,153.71854954166668,128.53981649999997,161.2723767083333,148.05557543333333,139.839201
2000-10-01,2000,10,4,2000T4,155.88163797499996,129.30215479999995,164.34473766666667,150.29297011666665,141.36902624999996
2000-11-01,2000,11,4,2000T4,163.91417402499997,137.53620669999998,176.637573875,153.72143838333335,151.09851600000002
2000-12-01,2000,12,4,2000T4,138.115203975,135.7055304333333,143.41830708333333,128.82173168333333,122.04674924999998
2001-01-01,2001,1,1,2001T1,152.637005325,147.59960443333333,159.2233822083333,145.0739022333333,132.61136699999997
2001-02-01,2001,2,1,2001T1,148.6194826083333,129.60682403333334,161.41824883333328,140.45208081666667,132.61136699999997
2001-03-01,2001,3,1,2001T1,161.44243144166663,135.40086119999998,174.44270724999996,153.57212676666668,145.9560165
2001-04-01,2001,4,2,2001T2,140.58694655833332,119.08575723333334,147.36929316666667,137.47040761666668,124.409217
2001-05-01,2001,5,2,2001T2,162.0609944333333,130.21616249999997,176.0529545833333,156.8524232,145.12213125000002
2001-06-01,2001,6,2,2001T2,159.12501593333332,131.13150063333333,174.58971016666663,152.67853663333332,141.5069715
2001-07-01,2001,7,3,2001T3,157.2718363416666,136.92553779999994,166.24786004166666,148.65282190000002,143.17598475
2001-08-01,2001,8,3,2001T3,110.306217875,132.96084646666668,84.87948408333332,101.53645846666666,106.339632
2001-09-01,2001,9,3,2001T3,149.23804559999996,130.52216216666665,153.9550238333333,144.32848393333333,134.00076149999998
