fecha,año,mes,ed_activo_total,ed_activo_creditos_esp,ed_activo_credito_sector_publico,ed_activo_credito_sector_privado,ed_activo_creditos_resto_mundo,ed_activo_renta_fija_esp,ed_activo_renta_fija_resto_mundo,ed_activo_acciones_esp,ed_activo_acciones_resto_mundo,ed_activo_efectivo,ed_activo_otros_residual,credito_privado_share,crecimiento_credito_yoy
1993-10-01,1993,12,1348201.3407208757,309718.80990453146,39800.19751143567,495431.8400345211,192625.0275245417,164172.54971684943,14021.428057735138,36206.33562874764,8365.156463508652,6646.387230940552,81213.61081985608,36.74761514252882,-1.95002215878739
1994-01-01,1994,3,1281537.2521512166,277071.7998208129,41451.357108838936,490321.73370597424,161589.79096970594,160297.06669456649,13500.753747000168,36126.83073854994,8479.027522266351,6131.144309236099,86567.74753426565,38.26043549517655,-0.9324661368904863
1994-04-01,1994,6,1343625.4575559658,269353.66302244505,62500.157762586,515315.6015041114,158917.42709875817,179467.31956272025,13195.428831137777,34407.62457656486,7789.808628125525,6622.415889410975,96056.01068010573,38.35262264541062,4.2052432586413335
1994-07-01,1994,9,1330906.3015330352,255112.4440546034,63478.24101250207,512222.3988094056,148618.35037083953,192247.09315209472,13003.811829317769,38419.03935216923,8216.24060668157,5595.140443161119,93993.5398031131,38.48673631039168,4.216867057514406
1994-10-01,1994,12,1383990.68823202,270812.157145977,63486.95206703614,521500.1526818145,159334.1540127258,205566.78373633008,13656.23605353038,37191.70900710181,8846.269116174057,6555.588717446635,97040.68777545156,37.68090039305144,5.2617354277183725
1995-01-01,1995,3,1369929.0410745298,259545.5528996624,67758.46605298281,513709.77752215,163281.49736549286,204708.6638428204,11966.566625341697,38121.4251649381,9070.633514230583,5426.861842297798,96339.59420622289,37.49900630759766,4.769938227988191
1995-04-01,1995,6,1378208.580250319,250493.9952768328,70728.46984147899,523972.1733807299,162215.47517042005,205808.55276265767,11665.100401293725,39134.39674724485,10179.715735026351,6275.469083093755,97735.2298268248,38.01835084248008,1.6798582948685414
1995-07-01,1995,9,1391330.6293472794,240565.1866251983,63822.08120792354,525713.1516717164,175591.8397416323,221471.493525698,11819.39227958439,40154.38786734613,10347.716921518084,5718.185517488896,96127.19600007932,37.78491902520297,2.6337686312953634
1995-10-01,1995,12,1440955.9939856366,270238.92180953873,66478.74069974814,534968.5536101448,189419.2609722572,215558.66360117265,12358.007458169368,40287.87880658744,10349.252406815676,6741.9118895797255,94554.80073622696,37.12594665229432,2.58262645927696
1996-01-01,1996,3,1435105.4460876868,277876.9911351446,69495.55765706624,529879.0681492538,179120.3469703436,215095.24879800223,13492.86899521922,41643.35040209111,10641.35706611474,5714.669833916357,92145.98905142258,36.92265746700243,3.1475536060644016
1996-04-01,1996,6,1434493.4180856594,270591.0090352352,73261.15497081728,541175.7803666539,169047.27808835777,211995.27630674635,14507.816128912878,45879.77961033154,8529.93779529684,6402.831924363918,93102.55190416348,37.725915890841556,3.283305461609598
1996-07-01,1996,9,1446395.2120645682,278809.5926685815,69846.294232307,542839.9163432139,174012.39956855087,214682.8759835708,12728.012384574144,45841.80200195313,9057.293195082722,6069.520318512562,92507.50148441333,37.53053880539126,3.25781552488007
1996-10-01,1996,12,1466399.6576305476,270168.6978500839,72202.67710431601,560721.8474979793,175258.2147302501,220529.37522403535,12464.25348898124,44808.220354316,9544.863890041175,7145.06250922678,93556.44498131768,38.23799634568999,4.813982749835066
1997-01-01,1997,3,1469510.490487947,265115.0269988213,69489.1697155133,575992.4293374525,165712.54476847907,217187.6343530418,15502.585557224333,46407.67107939163,10787.048567756654,6977.979216235741,96338.40475007604,39.19621078351035,8.702619891980646
1997-04-01,1997,6,1515741.402879328,272179.72753423936,74672.37085256608,592960.9134916492,167887.77421819014,225891.93189508052,15267.896178105077,49492.70170122231,11921.141787579718,6901.194982842395,98565.74638824783,39.12018978733778,9.569004194886578
1997-07-01,1997,9,1512993.9623014266,284972.4415876877,66350.37978506007,606776.6892190691,170545.97850893394,205335.68384966216,15485.213536111112,49157.88592267268,11860.845057394896,6344.205162950451,96164.64157530032,40.10436950429706,11.778200340637945
1997-10-01,1997,12,1536074.701332187,293026.93859362387,65912.10684594109,630553.9242092988,161290.73630404394,201015.90132344147,16803.383677866645,50560.158926072654,13413.934566975631,7422.183112834504,96075.43377208852,41.04969137649622,12.453960376775065
1998-01-01,1998,3,1567952.7707638596,276987.6902905334,58587.74259425433,651352.5612283697,175142.76414035415,214703.0933190003,19685.651575612672,52095.73303728332,14191.292014345488,6367.172363045427,98839.06830674683,41.54159317637165,13.083528194563554
1998-04-01,1998,6,1596560.5322231853,271862.1821805266,58398.46813664089,680064.4531949941,174124.5094573416,212424.795731144,20910.108653153824,57009.434282728354,15173.439872805717,7286.174221734603,99306.96649211545,42.595594684281416,14.689592133558339
1998-07-01,1998,9,1591253.9515434634,255542.38489612253,55273.55857267354,696924.9567154725,181042.43027090095,200646.3612848227,23171.6590560192,52115.0086822378,17567.189236484486,6729.6090903249615,102240.7937384047,43.79721766217633,14.85691014472319
1998-10-01,1998,12,1629213.200094722,277659.8719317042,55401.13156258293,729143.704298946,159817.75333300163,199089.49317241635,26193.187511609907,56272.54365494619,16482.952130325815,8531.820923337757,100620.7415758514,44.75434548753679,15.635424077849747
