Sexo;Grupos de edad (4);Relación con la actividad económica;Periodo;Total
Ambos sexos;De 20 a 24 años;Ocupados;1998TIII;1.361,7
Ambos sexos;De 20 a 24 años;Ocupados;1998TII;1.294,0
Ambos sexos;De 20 a 24 años;Ocupados;1998TI;1.277,1
Ambos sexos;De 20 a 24 años;Ocupados;1997TIV;1.295,7
Ambos sexos;De 20 a 24 años;Ocupados;1997TIII;1.300,2
Ambos sexos;De 20 a 24 años;Ocupados;1997TII;1.244,9
Ambos sexos;De 20 a 24 años;Ocupados;1997TI;1.234,9
Ambos sexos;De 20 a 24 años;Ocupados;1996TIV;1.227,8
Ambos sexos;De 20 a 24 años;Ocupados;1996TIII;1.235,8
Ambos sexos;De 20 a 24 años;Ocupados;1996TII;1.193,2
Ambos sexos;De 20 a 24 años;Ocupados;1996TI;1.180,4
Ambos sexos;De 20 a 24 años;Parados;2001TIV;368,7
Ambos sexos;De 20 a 24 años;Parados;2001TIII;367,2
Ambos sexos;De 20 a 24 años;Parados;2001TII;343,2
Ambos sexos;De 20 a 24 años;Parados;2001TI;365,2
Ambos sexos;De 20 a 24 años;Parados;2000TIV;464,8
Ambos sexos;De 20 a 24 años;Parados;2000TIII;465,6
Ambos sexos;De 20 a 24 años;Parados;2000TII;438,0
Ambos sexos;De 20 a 24 años;Parados;2000TI;489,4
Ambos sexos;De 20 a 24 años;Parados;1999TIV;506,8
Ambos sexos;De 20 a 24 años;Parados;1999TIII;521,8
Ambos sexos;De 20 a 24 años;Parados;1999TII;510,5
Ambos sexos;De 20 a 24 años;Parados;1999TI;569,5
Ambos sexos;De 20 a 24 años;Parados;1998TIV;614,0
Ambos sexos;De 20 a 24 años;Parados;1998TIII;635,2
Ambos sexos;De 20 a 24 años;Parados;1998TII;635,4
Ambos sexos;De 20 a 24 años;Parados;1998TI;664,3
Ambos sexos;De 20 a 24 años;Parados;1997TIV;683,9
Ambos sexos;De 20 a 24 años;Parados;1997TIII;683,0
Ambos sexos;De 20 a 24 años;Parados;1997TII;689,1
Ambos sexos;De 20 a 24 años;Parados;1997TI;729,7
Ambos sexos;De 20 a 24 años;Parados;1996TIV;751,3
Ambos sexos;De 20 a 24 años;Parados;1996TIII;778,6
Ambos sexos;De 20 a 24 años;Parados;1996TII;768,5
Ambos sexos;De 20 a 24 años;Parados;1996TI;824,2
Ambos sexos;De 20 a 24 años;Parados que buscan primer empleo;2001TIV;117,5
Ambos sexos;De 20 a 24 años;Parados que buscan primer empleo;2001TIII;125,0
