Sexo;Ocupación;Situación profesional;Periodo;Total
Ambos sexos;1 Dirección de las empresas y de las administraciones públicas;Total;2006T4;1.464,0
Ambos sexos;1 Dirección de las empresas y de las administraciones públicas;Total;2006T3;1.476,3
Ambos sexos;1 Dirección de las empresas y de las administraciones públicas;Total;2006T2;1.410,8
Ambos sexos;1 Dirección de las empresas y de las administraciones públicas;Total;2006T1;1.392,0
Ambos sexos;1 Dirección de las empresas y de las administraciones públicas;Total;2005T4;1.386,3
Ambos sexos;1 Dirección de las empresas y de las administraciones públicas;Total;2005T3;1.315,9
Ambos sexos;1 Dirección de las empresas y de las administraciones públicas;Total;2005T2;1.295,6
Ambos sexos;1 Dirección de las empresas y de las administraciones públicas;Total;2005T1;1.272,5
Ambos sexos;1 Dirección de las empresas y de las administraciones públicas;Total;2004T4;1.368,5
Ambos sexos;1 Dirección de las empresas y de las administraciones públicas;Total;2004T3;1.328,7
Ambos sexos;1 Dirección de las empresas y de las administraciones públicas;Total;2004T2;1.316,9
Ambos sexos;1 Dirección de las empresas y de las administraciones públicas;Total;2004T1;1.307,0
Ambos sexos;1 Dirección de las empresas y de las administraciones públicas;Total;2003T4;1.274,8
Ambos sexos;1 Dirección de las empresas y de las administraciones públicas;Total;2003T3;1.288,7
Ambos sexos;1 Dirección de las empresas y de las administraciones públicas;Total;2003T2;1.285,3
Ambos sexos;1 Dirección de las empresas y de las administraciones públicas;Total;2003T1;1.287,8
Ambos sexos;1 Dirección de las empresas y de las administraciones públicas;Total;2002T4;1.264,7
Ambos sexos;1 Dirección de las empresas y de las administraciones públicas;Total;2002T3;1.244,2
Ambos sexos;1 Dirección de las empresas y de las administraciones públicas;Total;2002T2;1.251,0
Ambos sexos;1 Dirección de las empresas y de las administraciones públicas;Total;2002T1;1.234,1
Ambos sexos;1 Dirección de las empresas y de las administraciones públicas;Trabajador por cuenta propia;2010T4;1.109,2
Ambos sexos;1 Dirección de las empresas y de las administraciones públicas;Trabajador por cuenta propia;2010T3;1.084,3
Ambos sexos;1 Dirección de las empresas y de las administraciones públicas;Trabajador por cuenta propia;2010T2;1.086,4
Ambos sexos;1 Dirección de las empresas y de las administraciones públicas;Trabajador por cuenta propia;2010T1;1.093,2
Ambos sexos;1 Dirección de las empresas y de las administraciones públicas;Trabajador por cuenta propia;2009T4;1.081,2
Ambos sexos;1 Dirección de las empresas y de las administraciones públicas;Trabajador por cuenta propia;2009T3;1.085,7
Ambos sexos;1 Dirección de las empresas y de las administraciones públicas;Trabajador por cuenta propia;2009T2;1.080,2
Ambos sexos;1 Dirección de las empresas y de las administraciones públicas;Trabajador por cuenta propia;2009T1;1.089,0
Ambos sexos;1 Dirección de las empresas y de las administraciones públicas;Trabajador por cuenta propia;2008T4;1.142,9
Ambos sexos;1 Dirección de las empresas y de las administraciones públicas;Trabajador por cuenta propia;2008T3;1.152,5
Ambos sexos;1 Dirección de las empresas y de las administraciones públicas;Trabajador por cuenta propia;2008T2;1.131,7
Ambos sexos;1 Dirección de las empresas y de las administraciones públicas;Trabajador por cuenta propia;2008T1;1.126,3
Ambos sexos;1 Dirección de las empresas y de las administraciones públicas;Trabajador por cuenta propia;2007T4;1.143,0
