Edad;Sexo;Unidad;Periodo;Total
Total;Mujeres;Valor absoluto;2016T4;9.228,7
Total;Mujeres;Valor absoluto;2016T3;9.177,8
Total;Mujeres;Valor absoluto;2016T2;9.109,0
Total;Mujeres;Valor absoluto;2016T1;9.158,7
Total;Mujeres;Valor absoluto;2015T4;9.125,6
Total;Mujeres;Valor absoluto;2015T3;9.195,4
Total;Mujeres;Valor absoluto;2015T2;9.073,6
Total;Mujeres;Valor absoluto;2015T1;9.173,1
Total;Mujeres;Valor absoluto;2014T4;9.104,8
Total;Mujeres;Valor absoluto;2014T3;9.210,8
Total;Mujeres;Valor absoluto;2014T2;9.139,0
Total;Mujeres;Valor absoluto;2014T1;9.124,2
Total;Mujeres;Valor absoluto;2013T4;9.091,4
Total;Mujeres;Valor absoluto;2013T3;9.133,9
Total;Mujeres;Valor absoluto;2013T2;9.111,8
Total;Mujeres;Valor absoluto;2013T1;9.098,3
Total;Mujeres;Valor absoluto;2012T4;9.114,3
Total;Mujeres;Valor absoluto;2012T3;9.115,9
Total;Mujeres;Valor absoluto;2012T2;9.126,5
Total;Mujeres;Valor absoluto;2012T1;9.142,9
Total;Mujeres;Valor absoluto;2011T4;9.237,7
Total;Mujeres;Valor absoluto;2011T3;9.235,2
Total;Mujeres;Valor absoluto;2011T2;9.185,9
Total;Mujeres;Valor absoluto;2011T1;9.277,8
Total;Mujeres;Valor absoluto;2010T4;9.291,1
Total;Mujeres;Valor absoluto;2010T3;9.346,0
Total;Mujeres;Valor absoluto;2010T2;9.343,1
Total;Mujeres;Valor absoluto;2010T1;9.375,7
Total;Mujeres;Valor absoluto;2009T4;9.434,7
Total;Mujeres;Valor absoluto;2009T3;9.453,4
Total;Mujeres;Valor absoluto;2009T2;9.431,4
Total;Mujeres;Valor absoluto;2009T1;9.428,8
Total;Mujeres;Valor absoluto;2008T4;9.450,8
Total;Mujeres;Valor absoluto;2008T3;9.587,1
Total;Mujeres;Valor absoluto;2008T2;9.599,7
Total;Mujeres;Valor absoluto;2008T1;9.669,2
Total;Mujeres;Valor absoluto;2007T4;9.700,2
Total;Mujeres;Valor absoluto;2007T3;9.720,8
Total;Mujeres;Valor absoluto;2007T2;9.732,8
Total;Mujeres;Valor absoluto;2007T1;9.731,3
Total;Mujeres;Valor absoluto;2006T4;9.703,4
Total;Mujeres;Valor absoluto;2006T3;9.798,0
Total;Mujeres;Valor absoluto;2006T2;9.733,5
Total;Mujeres;Valor absoluto;2006T1;9.789,7
Total;Mujeres;Valor absoluto;2005T4;9.849,9
Total;Mujeres;Valor absoluto;2005T3;9.917,7
Total;Mujeres;Valor absoluto;2005T2;9.842,3
Total;Mujeres;Valor absoluto;2005T1;9.916,6
Total;Mujeres;Valor absoluto;2004T4;9.917,5
Total;Mujeres;Valor absoluto;2004T3;9.963,8
Total;Mujeres;Valor absoluto;2004T2;9.976,3
Total;Mujeres;Valor absoluto;2004T1;10.013,6
Total;Mujeres;Valor absoluto;2003T4;10.017,6
Total;Mujeres;Valor absoluto;2003T3;10.043,0
Total;Mujeres;Valor absoluto;2003T2;10.091,6
Total;Mujeres;Valor absoluto;2003T1;10.127,0
Total;Mujeres;Valor absoluto;2002T4;10.174,1
Total;Mujeres;Valor absoluto;2002T3;10.171,6
Total;Mujeres;Valor absoluto;2002T2;10.184,6
Total;Mujeres;Valor absoluto;2002T1;10.245,5
Total;Mujeres;Porcentaje;2026T1;100,0
Total;Mujeres;Porcentaje;2025T4;100,0
Total;Mujeres;Porcentaje;2025T3;100,0
Total;Mujeres;Porcentaje;2025T2;100,0
Total;Mujeres;Porcentaje;2025T1;100,0
Total;Mujeres;Porcentaje;2024T4;100,0
