Sexo;Sector económico;Periodo;Total
varones;agricultura;1978TII;1.813,9
varones;agricultura;1978TI;1.839,5
varones;agricultura;1977TIV;1.828,9
varones;agricultura;1977TIII;1.855,7
varones;agricultura;1977TII;1.875,4
varones;agricultura;1977TI;1.910,5
varones;agricultura;1976TIV;1.929,4
varones;agricultura;1976TIII;1.983,3
varones;industria;1995TIV;2.023,3
varones;industria;1995TIII;2.039,1
varones;industria;1995TII;2.021,9
varones;industria;1995TI;1.995,5
varones;industria;1994TIV;2.029,5
varones;industria;1994TIII;2.020,0
varones;industria;1994TII;2.018,5
varones;industria;1994TI;2.016,1
varones;industria;1993TIV;2.039,4
varones;industria;1993TIII;2.060,3
varones;industria;1993TII;2.092,8
varones;industria;1993TI;2.111,2
varones;industria;1992TIV;2.207,1
varones;industria;1992TIII;2.282,6
varones;industria;1992TII;2.313,2
varones;industria;1992TI;2.323,1
varones;industria;1991TIV;2.329,0
varones;industria;1991TIII;2.329,3
varones;industria;1991TII;2.353,5
varones;industria;1991TI;2.362,7
varones;industria;1990TIV;2.409,8
varones;industria;1990TIII;2.398,2
varones;industria;1990TII;2.397,7
varones;industria;1990TI;2.418,3
varones;industria;1989TIV;2.379,0
varones;industria;1989TIII;2.362,8
varones;industria;1989TII;2.346,1
varones;industria;1989TI;2.335,7
varones;industria;1988TIV;2.319,3
varones;industria;1988TIII;2.309,2
varones;industria;1988TII;2.305,4
varones;industria;1988TI;2.270,9
varones;industria;1987TIV;2.285,1
varones;industria;1987TIII;2.257,6
varones;industria;1987TII;2.266,7
varones;industria;1987TI;2.208,5
varones;industria;1986TIV;2.207,3
varones;industria;1986TIII;2.199,0
varones;industria;1986TII;2.193,2
varones;industria;1986TI;2.168,1
varones;industria;1985TIV;2.164,1
varones;industria;1985TIII;2.169,0
varones;industria;1985TII;2.177,7
varones;industria;1985TI;2.202,5
varones;industria;1984TIV;2.236,3
varones;industria;1984TIII;2.266,8
varones;industria;1984TII;2.281,9
varones;industria;1984TI;2.284,0
varones;industria;1983TIV;2.291,2
varones;industria;1983TIII;2.289,1
varones;industria;1983TII;2.284,0
varones;industria;1983TI;2.286,0
varones;industria;1982TIV;2.305,0
varones;industria;1982TIII;2.301,7
varones;industria;1982TII;2.351,5
varones;industria;1982TI;2.372,9
varones;industria;1981TIV;2.414,6
varones;industria;1981TIII;2.461,2
varones;industria;1981TII;2.506,1
varones;industria;1981TI;2.534,7
varones;industria;1980TIV;2.539,5
varones;industria;1980TIII;2.542,3
varones;industria;1980TII;2.514,3
varones;industria;1980TI;2.559,0
varones;industria;1979TIV;2.555,3
varones;industria;1979TIII;2.574,9
varones;industria;1979TII;2.589,3
varones;industria;1979TI;2.596,6
varones;industria;1978TIV;2.614,4
varones;industria;1978TIII;2.628,8
varones;industria;1978TII;2.635,6
varones;industria;1978TI;2.647,2
varones;industria;1977TIV;2.671,5
varones;industria;1977TIII;2.676,2
varones;industria;1977TII;2.668,8
varones;industria;1977TI;2.639,6
varones;industria;1976TIV;2.627,9
varones;industria;1976TIII;2.640,2
varones;construcción;1995TIV;1.148,9
varones;construcción;1995TIII;1.155,5
varones;construcción;1995TII;1.155,3
varones;construcción;1995TI;1.143,3
varones;construcción;1994TIV;1.116,2
varones;construcción;1994TIII;1.094,0
varones;construcción;1994TII;1.076,1
varones;construcción;1994TI;1.016,8
varones;construcción;1993TIV;1.057,8
varones;construcción;1993TIII;1.100,0
varones;construcción;1993TII;1.110,3
varones;construcción;1993TI;1.131,2
