Sexo;Edad;Tipo de administración;Periodo;Total
Ambos sexos;Total;Comunidad Autónoma;2010T2;1.779,2
Ambos sexos;Total;Comunidad Autónoma;2010T1;1.763,1
Ambos sexos;Total;Comunidad Autónoma;2009T4;1.728,7
Ambos sexos;Total;Comunidad Autónoma;2009T3;1.737
Ambos sexos;Total;Comunidad Autónoma;2009T2;1.691,6
Ambos sexos;Total;Comunidad Autónoma;2009T1;1.666,9
Ambos sexos;Total;Comunidad Autónoma;2008T4;1.665,2
Ambos sexos;Total;Comunidad Autónoma;2008T3;1.647,6
Ambos sexos;Total;Comunidad Autónoma;2008T2;1.617,2
Ambos sexos;Total;Comunidad Autónoma;2008T1;1.577
Ambos sexos;Total;Comunidad Autónoma;2007T4;1.583,6
Ambos sexos;Total;Comunidad Autónoma;2007T3;1.599,2
Ambos sexos;Total;Comunidad Autónoma;2007T2;1.563,8
Ambos sexos;Total;Comunidad Autónoma;2007T1;1.522,2
Ambos sexos;Total;Comunidad Autónoma;2006T4;1.320,3
Ambos sexos;Total;Comunidad Autónoma;2006T3;1.218,4
Ambos sexos;Total;Comunidad Autónoma;2006T2;1.240,7
Ambos sexos;Total;Comunidad Autónoma;2006T1;1.251,3
Ambos sexos;Total;Comunidad Autónoma;2005T4;1.240,6
Ambos sexos;Total;Comunidad Autónoma;2005T3;1.197,5
Ambos sexos;Total;Comunidad Autónoma;2005T2;1.222,4
Ambos sexos;Total;Comunidad Autónoma;2005T1;1.237,1
Ambos sexos;Total;Comunidad Autónoma;2004T4;1.288,5
Ambos sexos;Total;Comunidad Autónoma;2004T3;1.265,8
Ambos sexos;Total;Comunidad Autónoma;2004T2;1.230,8
Ambos sexos;Total;Comunidad Autónoma;2004T1;1.214,1
Ambos sexos;Total;Comunidad Autónoma;2003T4;1.190,6
Ambos sexos;Total;Comunidad Autónoma;2003T3;1.135,6
Ambos sexos;Total;Comunidad Autónoma;2003T2;1.119,4
Ambos sexos;Total;Comunidad Autónoma;2003T1;1.071,3
Ambos sexos;Total;Comunidad Autónoma;2002T4;1.062
Ambos sexos;Total;Comunidad Autónoma;2002T3;1.046,7
Ambos sexos;Total;Comunidad Autónoma;2002T2;1.018,8
Ambos sexos;Total;Comunidad Autónoma;2002T1;968,6
Ambos sexos;Total;Local;2025T4;702
Ambos sexos;Total;Local;2025T3;721,5
Ambos sexos;Total;Local;2025T2;689
Ambos sexos;Total;Local;2025T1;667,8
Ambos sexos;Total;Local;2024T4;722
Ambos sexos;Total;Local;2024T3;700,8
Ambos sexos;Total;Local;2024T2;688,5
Ambos sexos;Total;Local;2024T1;660,5
Ambos sexos;Total;Local;2023T4;702,1
Ambos sexos;Total;Local;2023T3;693
Ambos sexos;Total;Local;2023T2;694,6
Ambos sexos;Total;Local;2023T1;693,3
Ambos sexos;Total;Local;2022T4;701,6
Ambos sexos;Total;Local;2022T3;709,3
Ambos sexos;Total;Local;2022T2;677
Ambos sexos;Total;Local;2022T1;667,5
Ambos sexos;Total;Local;2021T4;666,1
Ambos sexos;Total;Local;2021T3;692,3
Ambos sexos;Total;Local;2021T2;664,3
Ambos sexos;Total;Local;2021T1;657
Ambos sexos;Total;Local;2020T4;667,2
Ambos sexos;Total;Local;2020T3;671,1
Ambos sexos;Total;Local;2020T2;621,8
Ambos sexos;Total;Local;2020T1;654,8
Ambos sexos;Total;Local;2019T4;664,7
Ambos sexos;Total;Local;2019T3;658,6
Ambos sexos;Total;Local;2019T2;650,9
Ambos sexos;Total;Local;2019T1;665,1
Ambos sexos;Total;Local;2018T4;658,3
Ambos sexos;Total;Local;2018T3;681,4
Ambos sexos;Total;Local;2018T2;638,1
Ambos sexos;Total;Local;2018T1;624,5
Ambos sexos;Total;Local;2017T4;617,6
Ambos sexos;Total;Local;2017T3;629,8
Ambos sexos;Total;Local;2017T2;614,3
Ambos sexos;Total;Local;2017T1;597,6
Ambos sexos;Total;Local;2016T4;599,2
Ambos sexos;Total;Local;2016T3;614,1
Ambos sexos;Total;Local;2016T2;585,6
Ambos sexos;Total;Local;2016T1;585,6
Ambos sexos;Total;Local;2015T4;592
Ambos sexos;Total;Local;2015T3;613,2
Ambos sexos;Total;Local;2015T2;622,7
Ambos sexos;Total;Local;2015T1;618
Ambos sexos;Total;Local;2014T4;603,1
Ambos sexos;Total;Local;2014T3;609,8
Ambos sexos;Total;Local;2014T2;611,2
Ambos sexos;Total;Local;2014T1;608,1
Ambos sexos;Total;Local;2013T4;608,8
Ambos sexos;Total;Local;2013T3;611,7
Ambos sexos;Total;Local;2013T2;599,5
Ambos sexos;Total;Local;2013T1;580,7
Ambos sexos;Total;Local;2012T4;593,1
Ambos sexos;Total;Local;2012T3;592,3
Ambos sexos;Total;Local;2012T2;620
Ambos sexos;Total;Local;2012T1;634,9
Ambos sexos;Total;Local;2011T4;644
Ambos sexos;Total;Local;2011T3;675,7
Ambos sexos;Total;Local;2011T2;689,4
Ambos sexos;Total;Local;2011T1;671,9
Ambos sexos;Total;Local;2010T4;672,3
Ambos sexos;Total;Local;2010T3;686,5
Ambos sexos;Total;Local;2010T2;659,7
Ambos sexos;Total;Local;2010T1;670,1
Ambos sexos;Total;Local;2009T4;676,3
Ambos sexos;Total;Local;2009T3;689,2
Ambos sexos;Total;Local;2009T2;673,2
Ambos sexos;Total;Local;2009T1;661,2
Ambos sexos;Total;Local;2008T4;663,4
Ambos sexos;Total;Local;2008T3;655,3
Ambos sexos;Total;Local;2008T2;633,9
Ambos sexos;Total;Local;2008T1;627,2
Ambos sexos;Total;Local;2007T4;640
